id,area,amoblado,numero_habitaciones
120501,71,58,0,2
120502,72,11,1,4
120503,27,05,0,3
120504,52,08,1,1
120505,46,32,0,3
120506,67,30,1,4
120507,56,55,0,2
120508,74,34,0,3
120509,64,70,0,3
120510,78,44,1,1
120511,39,46,0,2
120512,67,17,1,1
120513,71,33,1,3
120514,47,10,0,3
120515,55,61,1,1
120516,65,08,1,4
120517,65,36,0,1
120518,65,25,1,3
120519,40,59,1,2
120520,49,60,1,1
120521,55,45,1,3
120522,53,98,0,4
120523,45,40,0,3
120524,55,92,1,4
120525,71,95,0,1
120526,71,53,0,2
120527,77,73,1,1
120528,54,64,1,3
120529,38,23,1,4
120530,61,42,0,2
120531,33,00,0,2
120532,41,31,0,2
120533,56,27,1,1
120534,77,91,1,1
120535,29,58,0,1
120536,44,04,0,4
120537,39,83,0,3
120538,56,70,1,1
120539,55,15,0,4
120540,29,99,1,1
120541,39,21,0,3
120542,32,61,1,1
120543,52,03,1,4
120544,68,37,0,2
120545,54,92,0,3
120546,30,30,1,1
120547,41,32,1,2
120548,31,22,1,2
120549,31,97,1,2
120550,33,95,1,3
120551,55,92,0,4
120552,67,69,1,2
120553,51,95,1,3
120554,38,60,0,2
120555,46,65,1,2
120556,48,11,0,2
120557,43,02,0,4
120558,36,83,1,2
120559,30,32,0,1
120560,34,24,1,2
120561,25,29,0,1
120562,36,85,0,2
120563,39,91,0,1
120564,76,94,0,4
120565,50,00,0,2
120566,41,40,1,2
120567,40,63,1,1
120568,41,76,1,3
120569,65,36,0,4
120570,54,24,1,4
120571,55,63,1,3
120572,61,08,0,4
120573,32,38,0,4
120574,37,74,1,1
120575,77,89,0,2
120576,54,56,0,4
120577,30,56,0,4
120578,65,04,0,3
120579,66,75,0,2
120580,62,76,1,4
120581,58,40,0,1
120582,26,29,0,2
120583,40,21,1,1
120584,31,19,1,1
120585,54,01,1,1
120586,37,13,1,2
120587,27,35,1,4
120588,44,97,0,3
120589,40,33,1,3
120590,72,09,1,3
120591,29,85,0,3
120592,79,39,0,2
120593,37,73,1,2
120594,46,86,0,2
120595,57,55,1,2
120596,66,22,1,2
120597,71,08,1,1
120598,56,12,1,3
120599,34,89,0,4
120600,73,43,1,3
120601,68,96,1,4
120602,65,45,0,3
120603,39,30,1,3
120604,74,82,1,1
120605,67,44,1,4
120606,67,21,1,3
120607,64,10,0,1
120608,65,69,0,2
120609,41,04,1,1
120610,77,57,1,4
120611,70,61,1,1
120612,65,83,1,1
120613,61,04,1,4
120614,62,94,0,4
120615,63,09,1,3
120616,39,85,0,3
120617,52,17,1,1
120618,33,40,1,4
120619,40,52,0,2
120620,33,27,1,4
120621,57,39,0,1
120622,64,05,0,1
120623,32,06,1,3
120624,74,53,1,2
120625,45,00,1,1
120626,62,43,0,2
120627,75,79,0,4
120628,54,74,1,4
120629,78,37,1,3
120630,58,97,1,1
120631,50,29,1,4
120632,60,64,0,2
120633,37,22,1,2
120634,26,10,1,2
120635,66,29,0,4
120636,39,81,1,2
120637,56,50,1,2
120638,54,36,1,1
120639,75,86,0,1
120640,56,76,1,2
120641,29,69,0,2
120642,55,25,1,1
120643,78,28,1,1
120644,76,72,0,2
120645,52,60,1,3
120646,40,72,0,1
120647,37,24,0,3
120648,70,52,0,3
120649,28,26,1,3
120650,58,02,0,1
120651,43,89,0,4
120652,35,17,1,2
120653,33,29,0,3
120654,29,21,1,3
120655,45,90,0,3
120656,59,82,1,3
120657,43,90,1,4
120658,31,27,0,4
120659,36,29,0,2
120660,43,21,1,2
120661,41,28,0,2
120662,29,06,1,4
120663,62,14,1,2
120664,72,24,0,1
120665,25,84,0,1
120666,50,62,0,4
120667,42,18,0,2
120668,76,41,1,1
120669,40,53,0,3
120670,55,43,0,1
120671,66,05,1,4
120672,33,21,0,1
120673,66,16,1,1
120674,38,90,1,1
120675,47,08,1,4
120676,29,12,1,3
120677,60,55,0,4
120678,42,64,0,3
120679,38,47,0,4
120680,67,62,1,1
120681,64,43,0,3
120682,67,17,0,4
120683,61,07,1,4
120684,79,18,0,3
120685,54,37,1,1
120686,25,90,0,1
120687,36,11,1,4
120688,67,37,0,3
120689,62,94,1,1
120690,30,92,0,3
120691,38,70,0,3
120692,47,55,0,3
120693,47,00,0,4
120694,62,32,0,2
120695,47,51,0,1
120696,64,38,0,3
120697,37,38,0,1
120698,58,17,0,2
120699,54,64,1,2
120700,33,67,1,3
120701,71,70,0,2
120702,55,39,0,3
120703,56,95,0,4
120704,79,40,0,3
120705,69,31,0,3
120706,64,31,1,2
120707,31,85,0,4
120708,78,10,0,3
120709,60,74,1,2
120710,36,75,1,4
120711,67,50,1,4
120712,75,08,0,4
120713,36,56,1,2
120714,50,71,1,1
120715,79,24,1,3
120716,53,78,0,3
120717,27,33,0,1
120718,76,66,0,1
120719,33,09,0,1
120720,56,39,1,1
120721,48,07,1,3
120722,43,26,0,3
120723,56,11,1,2
120724,50,37,1,3
120725,48,36,0,1
120726,69,50,1,2
120727,39,53,1,1
120728,53,17,1,1
120729,73,91,0,1
120730,76,04,0,2
120731,33,96,1,2
120732,31,21,0,3
120733,69,23,1,3
120734,77,30,0,2
120735,69,34,0,3
120736,40,83,1,1
120737,55,72,1,2
120738,28,10,1,2
120739,36,18,0,2
120740,52,30,1,4
120741,34,17,0,2
120742,25,28,1,4
120743,30,38,1,1
120744,29,46,1,4
120745,49,57,0,4
120746,57,77,1,2
120747,58,20,1,2
120748,26,92,0,4
120749,28,43,1,1
120750,29,15,1,3
120751,55,53,1,4
120752,42,49,1,4
120753,31,02,0,3
120754,55,24,1,2
120755,67,48,0,3
120756,57,36,0,4
120757,37,33,1,2
120758,52,76,0,2
120759,32,91,1,2
120760,55,53,1,2
120761,69,35,1,1
120762,55,43,0,4
120763,78,23,1,2
120764,36,65,1,4
120765,48,75,0,3
120766,38,13,0,4
120767,47,68,0,4
120768,79,03,1,1
120769,66,35,0,1
120770,67,39,1,3
120771,31,38,1,4
120772,56,95,0,4
120773,35,68,1,1
120774,73,93,1,1
120775,58,45,0,1
120776,75,92,1,3
120777,78,76,1,3
120778,50,21,0,3
120779,36,93,0,4
120780,61,60,1,2
120781,32,74,1,4
120782,48,94,1,1
120783,44,94,1,3
120784,71,15,0,2
120785,76,13,0,4
120786,68,80,1,4
120787,49,05,1,2
120788,25,01,1,3
120789,51,85,1,3
120790,40,33,1,1
120791,63,30,1,3
120792,32,36,0,4
120793,34,57,1,3
120794,27,58,0,3
120795,74,27,1,1
120796,42,18,1,3
120797,53,31,1,3
120798,73,44,0,1
120799,48,45,1,4
120800,36,93,0,1
120801,45,71,1,4
120802,55,60,1,2
120803,72,09,1,4
120804,76,78,1,2
120805,42,32,1,2
120806,43,01,1,1
120807,64,74,0,1
120808,34,24,0,2
120809,54,21,0,2
120810,38,80,1,1
120811,25,66,1,3
120812,78,58,1,3
120813,43,39,1,4
120814,53,16,0,2
120815,26,79,1,1
120816,60,90,1,2
120817,76,38,1,1
120818,31,62,0,4
120819,73,06,1,2
120820,76,34,1,1
120821,66,74,0,2
120822,25,62,1,4
120823,41,17,1,3
120824,45,68,0,2
120825,41,71,0,4
120826,49,11,1,4
120827,30,52,1,3
120828,55,10,1,1
120829,77,77,1,2
120830,32,27,0,4
120831,37,74,1,3
120832,44,02,1,2
120833,41,61,1,4
120834,78,31,0,1
120835,27,26,1,3
120836,61,46,0,4
120837,26,62,0,1
120838,65,90,0,3
120839,60,13,1,2
120840,50,47,0,4
120841,26,59,0,1
120842,77,52,0,3
120843,46,67,0,3
120844,26,93,0,2
120845,50,62,0,2
120846,55,96,1,1
120847,37,76,1,4
120848,67,35,1,3
120849,48,47,0,1
120850,37,81,0,2
120851,37,77,0,4
120852,61,81,0,3
120853,28,28,0,2
120854,33,28,1,4
120855,43,05,1,3
120856,61,44,0,4
120857,67,72,1,3
120858,34,98,1,3
120859,35,89,0,3
120860,28,60,0,1
120861,64,47,1,1
120862,46,13,1,4
120863,72,85,1,3
120864,36,16,1,4
120865,63,55,1,1
120866,78,80,1,4
120867,38,08,1,2
120868,29,24,0,4
120869,71,22,1,3
120870,53,94,0,1
120871,52,61,1,4
120872,77,04,1,2
120873,28,41,1,2
120874,61,57,0,2
120875,69,73,1,1
120876,33,66,0,3
120877,47,17,0,1
120878,33,74,0,2
120879,60,09,0,3
120880,61,51,0,3
120881,71,55,1,4
120882,42,92,1,3
120883,72,51,0,1
120884,75,95,0,2
120885,59,46,0,4
120886,58,54,1,2
120887,57,10,1,2
120888,38,75,1,3
120889,51,22,1,1
120890,74,50,1,3
120891,45,71,1,2
120892,38,22,0,3
120893,59,65,0,4
120894,29,62,1,4
120895,65,26,1,1
120896,33,56,1,1
120897,67,39,1,3
120898,44,63,1,2
120899,68,12,1,4
120900,74,61,0,1
120901,63,80,1,4
120902,57,20,1,1
120903,31,19,1,3
120904,72,56,0,4
120905,52,50,1,4
120906,74,72,0,4
120907,55,71,0,2
120908,45,41,0,4
120909,70,45,1,4
120910,46,79,1,4
120911,63,63,1,2
120912,42,76,0,2
120913,28,68,1,2
120914,30,90,1,3
120915,75,86,0,2
120916,77,53,0,2
120917,42,22,1,1
120918,45,68,1,1
120919,48,84,1,4
120920,78,08,0,3
120921,29,16,0,1
120922,68,60,1,1
120923,46,07,1,3
120924,54,74,0,4
120925,79,16,1,3
120926,79,72,0,4
120927,38,76,0,4
120928,61,89,1,4
120929,70,31,0,2
120930,64,79,1,1
120931,79,30,0,2
120932,33,59,1,2
120933,51,67,0,2
120934,35,39,0,1
120935,36,04,1,2
120936,33,98,1,4
120937,62,52,1,3
120938,30,53,1,1
120939,76,12,1,4
120940,78,63,1,2
120941,40,22,0,1
120942,26,22,1,4
120943,55,12,1,1
120944,61,82,0,3
120945,27,25,1,4
120946,57,98,0,3
120947,53,37,0,3
120948,69,62,1,4
120949,55,97,0,3
120950,51,22,0,2
120951,44,86,1,1
120952,49,31,0,1
120953,58,00,1,3
120954,48,16,1,4
120955,29,78,0,3
120956,46,08,1,3
120957,31,04,1,2
120958,54,65,1,2
120959,49,68,0,2
120960,79,12,1,3
120961,32,23,1,2
120962,74,11,1,3
120963,79,61,0,1
120964,28,03,1,4
120965,76,17,1,4
120966,57,68,1,2
120967,67,80,0,3
120968,41,03,0,2
120969,60,73,0,1
120970,69,62,1,2
120971,51,43,1,3
120972,57,85,1,3
120973,25,53,0,3
120974,49,45,1,1
120975,52,91,1,3
120976,79,38,1,4
120977,74,89,0,2
120978,52,10,0,3
120979,69,09,0,2
120980,43,15,0,1
120981,40,36,0,4
120982,31,14,1,1
120983,59,03,1,1
120984,79,05,1,3
120985,75,59,0,2
120986,37,17,0,1
120987,46,86,1,4
120988,64,45,1,4
120989,54,06,0,1
120990,59,37,0,4
120991,43,68,1,1
120992,64,93,1,3
120993,28,01,0,1
120994,50,46,1,3
120995,45,29,0,1
120996,78,19,0,4
120997,72,30,0,3
120998,49,95,0,1
120999,41,15,0,4
121000,60,99,1,2
121001,26,74,0,4
121002,78,97,1,1
121003,33,60,0,4
121004,34,56,0,4
121005,37,60,1,1
121006,40,08,1,3
121007,75,46,1,1
121008,57,87,0,4
121009,34,47,1,1
121010,61,03,1,4
121011,71,39,0,2
121012,37,19,1,3
121013,79,22,0,4
121014,66,70,0,1
121015,56,40,1,4
121016,69,20,0,4
121017,37,36,0,4
121018,28,22,1,1
121019,72,17,0,4
121020,60,30,0,1
121021,64,80,1,2
121022,65,20,0,1
121023,58,71,0,4
121024,38,03,1,4
121025,72,62,1,1
121026,39,12,1,4
121027,44,57,1,3
121028,49,37,1,4
121029,46,79,0,4
121030,25,37,0,1
121031,34,83,0,4
121032,34,43,0,1
121033,76,12,0,3
121034,75,88,1,3
121035,25,89,1,3
121036,71,32,1,2
121037,30,24,0,1
121038,76,73,0,2
121039,37,91,1,3
121040,37,96,0,3
121041,28,65,1,4
121042,55,78,0,1
121043,29,95,1,3
121044,71,91,1,3
121045,28,19,0,2
121046,69,39,0,1
121047,56,68,1,1
121048,65,11,0,3
121049,27,96,0,1
121050,49,95,1,2
121051,63,21,0,4
121052,38,57,1,4
121053,56,07,0,1
121054,32,05,1,3
121055,57,11,1,4
121056,53,17,0,1
121057,77,48,0,4
121058,67,22,0,4
121059,47,64,1,2
121060,76,54,1,1
121061,32,46,1,2
121062,57,43,0,3
121063,25,33,0,2
121064,66,75,1,3
121065,49,80,1,3
121066,45,62,0,4
121067,37,95,0,2
121068,67,02,0,1
121069,37,88,0,1
121070,58,20,1,2
121071,29,27,1,2
121072,54,44,0,2
121073,52,37,0,4
121074,27,62,0,4
121075,40,18,1,2
121076,60,33,0,4
121077,66,05,0,3
121078,78,43,0,2
121079,67,22,0,4
121080,73,36,0,1
121081,70,18,1,4
121082,54,96,1,3
121083,50,40,1,4
121084,76,94,0,1
121085,65,97,0,1
121086,61,50,1,4
121087,58,40,0,4
121088,73,89,1,2
121089,69,74,0,2
121090,25,87,0,3
121091,52,64,0,4
121092,60,80,0,3
121093,66,07,1,4
121094,49,78,0,1
121095,27,64,1,4
121096,56,56,1,4
121097,62,69,1,3
121098,51,16,0,2
121099,64,69,1,2
121100,59,49,1,1
121101,26,64,1,2
121102,36,55,0,4
121103,30,01,0,2
121104,70,92,0,4
121105,42,42,1,1
121106,77,65,0,4
121107,60,81,0,2
121108,25,91,1,4
121109,42,56,0,2
121110,35,87,1,1
121111,74,62,0,1
121112,59,93,0,3
121113,54,33,1,2
121114,67,23,0,2
121115,62,08,1,2
121116,36,81,0,1
121117,64,27,0,1
121118,46,63,1,4
121119,26,42,1,1
121120,37,39,1,1
121121,34,11,0,4
121122,30,63,1,2
121123,76,64,1,4
121124,73,71,0,2
121125,71,42,1,1
121126,54,79,0,2
121127,43,47,0,2
121128,28,90,0,3
121129,73,85,1,1
121130,69,96,1,2
121131,77,94,1,4
121132,72,50,1,1
121133,31,11,1,3
121134,32,98,0,3
121135,76,09,0,1
121136,79,57,1,1
121137,55,29,0,3
121138,25,44,1,3
121139,32,96,1,4
121140,54,11,1,1
121141,63,37,1,4
121142,49,39,0,3
121143,58,90,0,1
121144,29,98,0,3
121145,27,62,1,1
121146,77,04,0,4
121147,71,51,0,4
121148,49,52,0,1
121149,69,59,0,1
121150,50,12,0,3
121151,48,64,1,3
121152,76,87,0,2
121153,76,01,1,4
121154,59,54,0,4
121155,79,85,0,1
121156,49,07,0,4
121157,57,21,0,2
121158,36,78,0,3
121159,54,78,0,1
121160,29,25,1,3
121161,46,63,1,2
121162,43,37,0,3
121163,36,59,0,4
121164,47,00,0,1
121165,39,53,1,2
121166,53,11,1,2
121167,77,87,0,3
121168,54,26,1,2
121169,46,43,0,4
121170,77,60,1,2
121171,60,34,0,4
121172,75,96,0,1
121173,34,56,1,1
121174,29,68,1,1
121175,49,55,0,1
121176,55,77,0,4
121177,59,07,0,3
121178,46,29,1,4
121179,29,32,1,1
121180,56,81,0,3
121181,44,10,1,1
121182,45,96,0,3
121183,41,42,1,2
121184,35,00,0,2
121185,58,98,1,3
121186,66,89,1,3
121187,47,57,0,2
121188,49,62,0,2
121189,53,77,0,3
121190,34,89,0,3
121191,74,23,1,4
121192,28,47,1,3
121193,46,82,1,1
121194,40,79,1,3
121195,66,07,1,4
121196,26,93,1,2
121197,38,49,1,1
121198,78,65,0,3
121199,48,65,0,2
121200,35,06,1,3
121201,62,05,0,3
121202,61,35,1,1
121203,40,77,1,4
121204,41,01,0,4
121205,35,38,1,1
121206,65,35,0,1
121207,55,14,0,4
121208,64,16,0,2
121209,68,65,0,1
121210,37,43,0,2
121211,68,64,1,2
121212,64,57,0,4
121213,47,48,1,2
121214,43,64,0,4
121215,76,01,0,4
121216,36,51,0,2
121217,77,80,1,4
121218,28,09,1,3
121219,26,01,1,2
121220,73,80,1,1
121221,65,23,0,2
121222,55,29,0,3
121223,44,60,1,3
121224,63,33,1,4
121225,54,95,1,4
121226,32,48,1,4
121227,67,71,0,3
121228,26,18,0,1
121229,61,45,1,4
121230,36,26,1,1
121231,64,61,1,4
121232,60,87,1,3
121233,59,90,1,2
121234,33,54,0,3
121235,47,88,0,2
121236,76,60,0,2
121237,59,55,0,1
121238,78,77,0,3
121239,38,44,0,3
121240,72,47,0,2
121241,51,36,1,4
121242,56,33,1,4
121243,58,36,0,1
121244,29,36,1,3
121245,33,24,0,2
121246,79,31,0,2
121247,48,99,0,1
121248,78,40,1,3
121249,30,10,0,2
121250,72,54,1,1
121251,44,44,0,1
121252,40,99,0,2
121253,38,30,0,1
121254,61,65,1,2
121255,40,91,0,4
121256,66,28,0,4
121257,65,03,0,3
121258,63,58,1,3
121259,76,71,1,2
121260,74,75,1,1
121261,43,94,1,1
121262,51,89,1,3
121263,28,69,0,4
121264,36,59,0,3
121265,66,01,0,3
121266,78,06,0,4
121267,79,15,0,1
121268,35,94,0,4
121269,27,44,0,2
