id,cantidad,fecha,operador
146,1654,2020/05/1,146
147,647,2020/05/1,147
148,1382,2020/05/1,148
149,291,2020/05/1,149
150,602,2020/05/1,150
151,1567,2020/05/1,151
152,1721,2020/05/1,152
153,1411,2020/05/1,153
154,1149,2020/05/1,154
155,1195,2020/05/1,155
156,1283,2020/05/1,156
157,629,2020/05/1,157
158,381,2020/05/1,158
159,873,2020/05/1,159
160,6,2020/05/1,160
161,348,2020/05/1,161
162,1804,2020/05/1,162
163,603,2020/05/1,163
164,1333,2020/05/1,164
165,292,2020/05/1,165
166,1338,2020/05/1,166
167,1210,2020/05/1,167
168,1755,2020/05/1,168
169,791,2020/05/1,169
170,163,2020/05/1,170
171,1865,2020/05/1,171
172,1029,2020/05/1,172
173,1634,2020/05/1,173
174,190,2020/05/1,174
175,1713,2020/05/1,175
176,968,2020/05/1,176
177,1050,2020/05/1,177
178,1379,2020/05/1,178
179,597,2020/05/1,179
180,1981,2020/05/1,180
181,1562,2020/05/1,181
182,560,2020/05/1,182
183,582,2020/05/1,183
184,1762,2020/05/1,184
185,1381,2020/05/1,185
186,1156,2020/05/1,186
187,1152,2020/05/1,187
188,1822,2020/05/1,188
189,1183,2020/05/1,189
190,1302,2020/05/1,190
191,429,2020/05/1,191
192,966,2020/05/1,192
193,1458,2020/05/1,193
194,322,2020/05/1,194
195,100,2020/05/1,195
196,184,2020/05/1,196
197,1689,2020/05/1,197
198,303,2020/05/1,198
199,771,2020/05/1,199
200,716,2020/05/1,200
201,441,2020/05/1,201
202,477,2020/05/1,202
203,1579,2020/05/1,203
204,1787,2020/05/1,204
205,1301,2020/05/1,205
206,950,2020/05/1,206
207,1598,2020/05/1,207
208,1192,2020/05/1,208
209,1885,2020/05/1,209
210,1332,2020/05/1,210
211,1811,2020/05/1,211
212,572,2020/05/1,212
213,1083,2020/05/1,213
214,1715,2020/05/1,214
215,226,2020/05/1,215
216,1580,2020/05/1,216
217,1833,2020/05/1,217
218,871,2020/05/1,218
219,1160,2020/05/1,219
220,27,2020/05/1,220
221,380,2020/05/1,221
222,840,2020/05/1,222
223,233,2020/05/1,223
224,9,2020/05/1,224
225,1869,2020/05/1,225
226,1271,2020/05/1,226
227,847,2020/05/1,227
228,470,2020/05/1,228
229,877,2020/05/1,229
230,1223,2020/05/1,230
231,1713,2020/05/1,231
232,495,2020/05/1,232
233,356,2020/05/1,233
234,254,2020/05/1,234
235,1218,2020/05/1,235
236,1673,2020/05/1,236
237,1603,2020/05/1,237
238,8,2020/05/1,238
239,1680,2020/05/1,239
240,1163,2020/05/1,240
241,393,2020/05/1,241
242,1974,2020/05/1,242
243,1968,2020/05/1,243
244,1051,2020/05/1,244
245,902,2020/05/1,245
246,1978,2020/05/1,246
247,990,2020/05/1,247
248,884,2020/05/1,248
249,1148,2020/05/1,249
250,328,2020/05/1,250
251,1986,2020/05/1,251
252,1149,2020/05/1,252
253,148,2020/05/1,253
254,1948,2020/05/1,254
255,1682,2020/05/1,255
256,1869,2020/05/1,256
257,1381,2020/05/1,257
258,1251,2020/05/1,258
259,671,2020/05/1,259
260,862,2020/05/1,260
261,1850,2020/05/1,261
262,1145,2020/05/1,262
263,707,2020/05/1,263
264,649,2020/05/1,264
265,349,2020/05/1,265
266,596,2020/05/1,266
267,40,2020/05/1,267
268,1999,2020/05/1,268
269,1126,2020/05/1,269
270,1493,2020/05/1,270
271,1296,2020/05/1,271
272,567,2020/05/1,272
273,197,2020/05/1,273
274,82,2020/05/1,274
275,1591,2020/05/1,275
276,947,2020/05/1,276
277,1793,2020/05/1,277
278,1623,2020/05/1,278
279,1416,2020/05/1,279
280,1509,2020/05/1,280
281,1838,2020/05/1,281
282,1252,2020/05/1,282
283,379,2020/05/1,283
284,1247,2020/05/1,284
285,504,2020/05/1,285
286,1614,2020/05/1,286
287,1271,2020/05/1,287
288,1870,2020/05/1,288
289,325,2020/05/1,289
290,1836,2020/05/1,290
291,705,2020/05/1,291
292,1559,2020/05/1,292
293,1179,2020/05/1,293
294,1208,2020/05/1,294
295,782,2020/05/1,295
296,581,2020/05/1,296
297,501,2020/05/1,297
298,230,2020/05/1,298
299,1701,2020/05/1,299
300,1284,2020/05/1,300
301,1747,2020/05/1,301
302,604,2020/05/1,302
303,1272,2020/05/1,303
304,1039,2020/05/1,304
305,205,2020/05/1,305
306,1878,2020/05/1,306
307,1998,2020/05/1,307
308,1054,2020/05/1,308
309,299,2020/05/1,309
310,117,2020/05/1,310
311,765,2020/05/1,311
312,1831,2020/05/1,312
313,676,2020/05/1,313
314,1714,2020/05/1,314
315,77,2020/05/1,315
316,1246,2020/05/1,316
317,1009,2020/05/1,317
318,808,2020/05/1,318
319,1667,2020/05/1,319
320,1809,2020/05/1,320
321,1837,2020/05/1,321
322,1762,2020/05/1,322
323,1653,2020/05/1,323
324,1251,2020/05/1,324
325,474,2020/05/1,325
326,581,2020/05/1,326
327,1119,2020/05/1,327
328,1481,2020/05/1,328
329,122,2020/05/1,329
330,1459,2020/05/1,330
331,1499,2020/05/1,331
332,1272,2020/05/1,332
333,1305,2020/05/1,333
334,761,2020/05/1,334
335,577,2020/05/1,335
336,1717,2020/05/1,336
337,1638,2020/05/1,337
338,864,2020/05/1,338
339,1468,2020/05/1,339
340,597,2020/05/1,340
341,597,2020/05/1,341
342,1893,2020/05/1,342
343,759,2020/05/1,343
344,631,2020/05/1,344
345,856,2020/05/1,345
346,588,2020/05/1,346
347,376,2020/05/1,347
348,1175,2020/05/1,348
349,908,2020/05/1,349
350,1444,2020/05/1,350
351,1752,2020/05/1,351
352,300,2020/05/1,352
353,1805,2020/05/1,353
354,790,2020/05/1,354
355,1326,2020/05/1,355
356,1934,2020/05/1,356
357,1315,2020/05/1,357
358,814,2020/05/1,358
359,621,2020/05/1,359
360,574,2020/05/1,360
361,641,2020/05/1,361
362,333,2020/05/1,362
363,493,2020/05/1,363
364,1234,2020/05/1,364
365,1956,2020/05/1,365
366,1453,2020/05/1,366
367,1286,2020/05/1,367
368,1950,2020/05/1,368
369,1171,2020/05/1,369
370,1965,2020/05/1,370
371,1698,2020/05/1,371
372,915,2020/05/1,372
373,608,2020/05/1,373
374,1266,2020/05/1,374
375,1398,2020/05/1,375
376,816,2020/05/1,376
377,1230,2020/05/1,377
378,1201,2020/05/1,378
379,1288,2020/05/1,379
380,1308,2020/05/1,380
381,1571,2020/05/1,381
382,1538,2020/05/1,382
383,1310,2020/05/1,383
384,1289,2020/05/1,384
385,1204,2020/05/1,385
386,723,2020/05/1,386
387,8,2020/05/1,387
388,471,2020/05/1,388
389,1317,2020/05/1,389
390,253,2020/05/1,390
391,217,2020/05/1,391
392,259,2020/05/1,392
393,1694,2020/05/1,393
394,1812,2020/05/1,394
395,1472,2020/05/1,395
396,682,2020/05/1,396
397,1881,2020/05/1,397
398,679,2020/05/1,398
399,879,2020/05/1,399
400,712,2020/05/1,400
401,777,2020/05/1,401
402,219,2020/05/1,402
403,1453,2020/05/1,403
404,1627,2020/05/1,404
405,780,2020/05/1,405
406,1014,2020/05/1,406
407,1020,2020/05/1,407
408,369,2020/05/1,408
409,401,2020/05/1,409
410,1222,2020/05/1,410
411,766,2020/05/1,411
412,472,2020/05/1,412
413,521,2020/05/1,413
414,894,2020/05/1,414
415,577,2020/05/1,415
416,948,2020/05/1,416
417,542,2020/05/1,417
418,438,2020/05/1,418
419,1603,2020/05/1,419
420,294,2020/05/1,420
421,131,2020/05/1,421
422,1967,2020/05/1,422
423,1068,2020/05/1,423
424,552,2020/05/1,424
425,1543,2020/05/1,425
426,1166,2020/05/1,426
427,447,2020/05/1,427
428,1858,2020/05/1,428
429,1630,2020/05/1,429
430,1816,2020/05/1,430
431,1728,2020/05/1,431
432,789,2020/05/1,432
433,699,2020/05/1,433
434,1703,2020/05/1,434
435,1289,2020/05/1,435
436,1971,2020/05/1,436
437,178,2020/05/1,437
438,1228,2020/05/1,438
439,823,2020/05/1,439
440,527,2020/05/1,440
441,780,2020/05/1,441
442,1785,2020/05/1,442
443,423,2020/05/1,443
444,583,2020/05/1,444
445,1715,2020/05/1,445
446,1174,2020/05/1,446
447,641,2020/05/1,447
448,1136,2020/05/1,448
449,1878,2020/05/1,449
450,643,2020/05/1,450
451,956,2020/05/1,451
452,1858,2020/05/1,452
453,365,2020/05/1,453
454,1668,2020/05/1,454
455,1770,2020/05/1,455
456,40,2020/05/1,456
457,594,2020/05/1,457
458,945,2020/05/1,458
459,285,2020/05/1,459
460,208,2020/05/1,460
461,1292,2020/05/1,461
462,1169,2020/05/1,462
463,142,2020/05/1,463
464,608,2020/05/1,464
465,1837,2020/05/1,465
466,1114,2020/05/1,466
467,375,2020/05/1,467
468,630,2020/05/1,468
469,1230,2020/05/1,469
470,1206,2020/05/1,470
471,789,2020/05/1,471
472,482,2020/05/1,472
473,610,2020/05/1,473
474,128,2020/05/1,474
475,455,2020/05/1,475
476,1246,2020/05/1,476
477,899,2020/05/1,477
478,1544,2020/05/1,478
479,1462,2020/05/1,479
480,1365,2020/05/1,480
481,188,2020/05/1,481
482,1281,2020/05/1,482
483,194,2020/05/1,483
484,918,2020/05/1,484
485,981,2020/05/1,485
486,1159,2020/05/1,486
487,284,2020/05/1,487
488,1505,2020/05/1,488
489,363,2020/05/1,489
490,1257,2020/05/1,490
491,786,2020/05/1,491
492,548,2020/05/1,492
493,151,2020/05/1,493
494,1306,2020/05/1,494
495,730,2020/05/1,495
496,1467,2020/05/1,496
497,1897,2020/05/1,497
498,327,2020/05/1,498
499,1664,2020/05/1,499
500,1342,2020/05/1,500
501,1387,2020/05/1,501
502,1127,2020/05/1,502
503,1681,2020/05/1,503
504,655,2020/05/1,504
505,1789,2020/05/1,505
506,1449,2020/05/1,506
507,1949,2020/05/1,507
508,1898,2020/05/1,508
509,748,2020/05/1,509
510,1380,2020/05/1,510
511,1547,2020/05/1,511
512,848,2020/05/1,512
513,1218,2020/05/1,513
514,816,2020/05/1,514
515,110,2020/05/1,515
516,1958,2020/05/1,516
517,1237,2020/05/1,517
518,493,2020/05/1,518
519,1283,2020/05/1,519
520,1989,2020/05/1,520
521,150,2020/05/1,521
522,1986,2020/05/1,522
523,480,2020/05/1,523
524,1556,2020/05/1,524
525,1817,2020/05/1,525
526,1410,2020/05/1,526
527,537,2020/05/1,527
528,1093,2020/05/1,528
529,620,2020/05/1,529
530,1442,2020/05/1,530
531,1760,2020/05/1,531
532,1456,2020/05/1,532
533,681,2020/05/1,533
534,1647,2020/05/1,534
535,72,2020/05/1,535
536,484,2020/05/1,536
537,1498,2020/05/1,537
538,226,2020/05/1,538
539,1972,2020/05/1,539
540,867,2020/05/1,540
541,1559,2020/05/1,541
542,579,2020/05/1,542
543,1264,2020/05/1,543
544,1415,2020/05/1,544
545,1771,2020/05/1,545
546,992,2020/05/1,546
547,153,2020/05/1,547
548,432,2020/05/1,548
549,1789,2020/05/1,549
550,1367,2020/05/1,550
551,1284,2020/05/1,551
552,217,2020/05/1,552
553,1411,2020/05/1,553
554,1090,2020/05/1,554
555,94,2020/05/1,555
556,1336,2020/05/1,556
557,1053,2020/05/1,557
558,1257,2020/05/1,558
559,25,2020/05/1,559
560,684,2020/05/1,560
561,1066,2020/05/1,561
562,937,2020/05/1,562
563,328,2020/05/1,563
564,1524,2020/05/1,564
565,962,2020/05/1,565
566,1971,2020/05/1,566
567,1167,2020/05/1,567
568,1322,2020/05/1,568
569,1966,2020/05/1,569
570,114,2020/05/1,570
571,920,2020/05/1,571
572,1804,2020/05/1,572
573,1417,2020/05/1,573
574,300,2020/05/1,574
575,1760,2020/05/1,575
576,1561,2020/05/1,576
577,1902,2020/05/1,577
578,714,2020/05/1,578
579,1235,2020/05/1,579
580,767,2020/05/1,580
581,1061,2020/05/1,581
582,1202,2020/05/1,582
583,1836,2020/05/1,583
584,1600,2020/05/1,584
585,536,2020/05/1,585
586,840,2020/05/1,586
587,1150,2020/05/1,587
588,1453,2020/05/1,588
589,447,2020/05/1,589
590,506,2020/05/1,590
591,1178,2020/05/1,591
592,771,2020/05/1,592
593,163,2020/05/1,593
594,965,2020/05/1,594
595,1066,2020/05/1,595
596,628,2020/05/1,596
597,1753,2020/05/1,597
598,1108,2020/05/1,598
599,432,2020/05/1,599
600,146,2020/05/1,600
601,150,2020/05/1,601
602,1898,2020/05/1,602
603,1717,2020/05/1,603
604,1112,2020/05/1,604
605,1959,2020/05/1,605
606,419,2020/05/1,606
607,384,2020/05/1,607
608,1595,2020/05/1,608
609,900,2020/05/1,609
610,202,2020/05/1,610
611,1031,2020/05/1,611
612,1371,2020/05/1,612
613,887,2020/05/1,613
614,1171,2020/05/1,614
615,140,2020/05/1,615
616,1198,2020/05/1,616
617,6,2020/05/1,617
618,1840,2020/05/1,618
619,972,2020/05/1,619
620,621,2020/05/1,620
621,937,2020/05/1,621
622,691,2020/05/1,622
623,1911,2020/05/1,623
624,783,2020/05/1,624
625,1397,2020/05/1,625
626,458,2020/05/1,626
627,1862,2020/05/1,627
628,1187,2020/05/1,628
629,738,2020/05/1,629
630,1821,2020/05/1,630
631,1301,2020/05/1,631
632,84,2020/05/1,632
633,905,2020/05/1,633
634,1418,2020/05/1,634
635,1973,2020/05/1,635
636,1803,2020/05/1,636
637,906,2020/05/1,637
638,1985,2020/05/1,638
639,844,2020/05/1,639
640,203,2020/05/1,640
641,1466,2020/05/1,641
642,1119,2020/05/1,642
643,1511,2020/05/1,643
644,1166,2020/05/1,644
645,287,2020/05/1,645
646,1301,2020/05/1,646
647,705,2020/05/1,647
648,1668,2020/05/1,648
649,503,2020/05/1,649
650,1082,2020/05/1,650
651,1391,2020/05/1,651
652,1386,2020/05/1,652
653,82,2020/05/1,653
654,454,2020/05/1,654
655,716,2020/05/1,655
656,1030,2020/05/1,656
657,1334,2020/05/1,657
658,1599,2020/05/1,658
659,816,2020/05/1,659
660,234,2020/05/1,660
661,157,2020/05/1,661
662,1456,2020/05/1,662
663,70,2020/05/1,663
664,1206,2020/05/1,664
665,1111,2020/05/1,665
666,1402,2020/05/1,666
667,1638,2020/05/1,667
668,1968,2020/05/1,668
669,1111,2020/05/1,669
670,502,2020/05/1,670
671,1319,2020/05/1,671
672,1781,2020/05/1,672
673,1895,2020/05/1,673
674,1822,2020/05/1,674
675,1209,2020/05/1,675
676,690,2020/05/1,676
677,1462,2020/05/1,677
678,1041,2020/05/1,678
679,919,2020/05/1,679
680,1125,2020/05/1,680
681,1635,2020/05/1,681
682,98,2020/05/1,682
683,391,2020/05/1,683
684,110,2020/05/1,684
685,622,2020/05/1,685
686,1829,2020/05/1,686
687,1708,2020/05/1,687
688,1777,2020/05/1,688
689,258,2020/05/1,689
690,1523,2020/05/1,690
691,471,2020/05/1,691
692,943,2020/05/1,692
693,1062,2020/05/1,693
694,389,2020/05/1,694
695,562,2020/05/1,695
696,541,2020/05/1,696
697,444,2020/05/1,697
698,452,2020/05/1,698
699,1781,2020/05/1,699
700,1362,2020/05/1,700
701,475,2020/05/1,701
702,1238,2020/05/1,702
703,1023,2020/05/1,703
704,472,2020/05/1,704
705,320,2020/05/1,705
706,1776,2020/05/1,706
707,1057,2020/05/1,707
708,1367,2020/05/1,708
709,1116,2020/05/1,709
710,1132,2020/05/1,710
711,1314,2020/05/1,711
712,908,2020/05/1,712
713,612,2020/05/1,713
714,568,2020/05/1,714
715,1070,2020/05/1,715
716,213,2020/05/1,716
717,1952,2020/05/1,717
718,298,2020/05/1,718
719,402,2020/05/1,719
720,1065,2020/05/1,720
721,1874,2020/05/1,721
722,1242,2020/05/1,722
723,1184,2020/05/1,723
724,790,2020/05/1,724
725,1323,2020/05/1,725
726,735,2020/05/1,726
727,476,2020/05/1,727
728,83,2020/05/1,728
729,1006,2020/05/1,729
730,68,2020/05/1,730
731,750,2020/05/1,731
732,1628,2020/05/1,732
733,467,2020/05/1,733
734,90,2020/05/1,734
735,216,2020/05/1,735
736,526,2020/05/1,736
737,1470,2020/05/1,737
738,382,2020/05/1,738
739,1882,2020/05/1,739
740,1802,2020/05/1,740
741,1647,2020/05/1,741
742,792,2020/05/1,742
743,261,2020/05/1,743
744,1695,2020/05/1,744
745,1181,2020/05/1,745
746,1872,2020/05/1,746
747,1398,2020/05/1,747
748,1607,2020/05/1,748
749,605,2020/05/1,749
750,150,2020/05/1,750
751,172,2020/05/1,751
752,918,2020/05/1,752
753,378,2020/05/1,753
754,1696,2020/05/1,754
755,442,2020/05/1,755
756,342,2020/05/1,756
757,1143,2020/05/1,757
758,649,2020/05/1,758
759,1174,2020/05/1,759
760,1092,2020/05/1,760
761,499,2020/05/1,761
762,1325,2020/05/1,762
763,689,2020/05/1,763
764,828,2020/05/1,764
765,1140,2020/05/1,765
766,1035,2020/05/1,766
767,52,2020/05/1,767
768,69,2020/05/1,768
769,1349,2020/05/1,769
770,969,2020/05/1,770
771,1527,2020/05/1,771
772,1582,2020/05/1,772
773,327,2020/05/1,773
774,1110,2020/05/1,774
775,224,2020/05/1,775
776,1586,2020/05/1,776
777,39,2020/05/1,777
778,1339,2020/05/1,778
779,194,2020/05/1,779
780,472,2020/05/1,780
781,136,2020/05/1,781
782,242,2020/05/1,782
783,1149,2020/05/1,783
784,88,2020/05/1,784
785,1406,2020/05/1,785
786,345,2020/05/1,786
787,1292,2020/05/1,787
788,503,2020/05/1,788
789,53,2020/05/1,789
790,1952,2020/05/1,790
791,474,2020/05/1,791
792,291,2020/05/1,792
793,769,2020/05/1,793
794,1562,2020/05/1,794
795,1139,2020/05/1,795
796,439,2020/05/1,796
797,280,2020/05/1,797
798,1178,2020/05/1,798
799,1139,2020/05/1,799
800,49,2020/05/1,800
801,397,2020/05/1,801
802,1971,2020/05/1,802
803,368,2020/05/1,803
804,175,2020/05/1,804
805,1811,2020/05/1,805
806,1630,2020/05/1,806
807,131,2020/05/1,807
808,883,2020/05/1,808
809,875,2020/05/1,809
810,252,2020/05/1,810
811,134,2020/05/1,811
812,1883,2020/05/1,812
813,66,2020/05/1,813
814,1531,2020/05/1,814
815,1674,2020/05/1,815
816,1754,2020/05/1,816
817,322,2020/05/1,817
818,877,2020/05/1,818
819,1390,2020/05/1,819
820,1565,2020/05/1,820
821,391,2020/05/1,821
822,1520,2020/05/1,822
823,755,2020/05/1,823
824,1826,2020/05/1,824
825,78,2020/05/1,825
826,1130,2020/05/1,826
827,686,2020/05/1,827
828,1620,2020/05/1,828
829,994,2020/05/1,829
830,431,2020/05/1,830
831,170,2020/05/1,831
832,208,2020/05/1,832
833,783,2020/05/1,833
834,794,2020/05/1,834
835,277,2020/05/1,835
836,1027,2020/05/1,836
837,92,2020/05/1,837
838,584,2020/05/1,838
839,1865,2020/05/1,839
840,743,2020/05/1,840
841,225,2020/05/1,841
842,1328,2020/05/1,842
843,132,2020/05/1,843
844,1952,2020/05/1,844
845,1025,2020/05/1,845
846,1853,2020/05/1,846
847,843,2020/05/1,847
848,1711,2020/05/1,848
849,1140,2020/05/1,849
850,1126,2020/05/1,850
851,836,2020/05/1,851
852,1109,2020/05/1,852
853,1598,2020/05/1,853
854,697,2020/05/1,854
855,1830,2020/05/1,855
856,299,2020/05/1,856
857,93,2020/05/1,857
858,680,2020/05/1,858
859,1836,2020/05/1,859
860,1208,2020/05/1,860
861,1650,2020/05/1,861
862,682,2020/05/1,862
863,1677,2020/05/1,863
864,968,2020/05/1,864
865,1570,2020/05/1,865
866,877,2020/05/1,866
867,1384,2020/05/1,867
868,180,2020/05/1,868
869,1932,2020/05/1,869
870,818,2020/05/1,870
871,334,2020/05/1,871
872,1563,2020/05/1,872
873,534,2020/05/1,873
874,512,2020/05/1,874
875,1540,2020/05/1,875
876,120,2020/05/1,876
877,1556,2020/05/1,877
878,128,2020/05/1,878
879,1337,2020/05/1,879
880,1114,2020/05/1,880
881,785,2020/05/1,881
882,65,2020/05/1,882
883,112,2020/05/1,883
884,59,2020/05/1,884
885,775,2020/05/1,885
886,546,2020/05/1,886
887,850,2020/05/1,887
888,890,2020/05/1,888
889,1566,2020/05/1,889
890,562,2020/05/1,890
891,218,2020/05/1,891
892,112,2020/05/1,892
893,1714,2020/05/1,893
894,270,2020/05/1,894
895,1291,2020/05/1,895
896,1685,2020/05/1,896
897,580,2020/05/1,897
898,1999,2020/05/1,898
899,238,2020/05/1,899
900,299,2020/05/1,900
901,1256,2020/05/1,901
902,1318,2020/05/1,902
903,228,2020/05/1,903
904,1102,2020/05/1,904
905,605,2020/05/1,905
906,1144,2020/05/1,906
907,1997,2020/05/1,907
908,17,2020/05/1,908
909,1057,2020/05/1,909
910,1004,2020/05/1,910
911,733,2020/05/1,911
912,49,2020/05/1,912
913,1037,2020/05/1,913
914,1738,2020/05/1,914
915,1791,2020/05/1,915
916,856,2020/05/1,916
917,511,2020/05/1,917
918,354,2020/05/1,918
919,1126,2020/05/1,919
920,108,2020/05/1,920
921,190,2020/05/1,921
922,1446,2020/05/1,922
923,964,2020/05/1,923
924,1881,2020/05/1,924
925,1217,2020/05/1,925
926,312,2020/05/1,926
927,802,2020/05/1,927
928,74,2020/05/1,928
929,1264,2020/05/1,929
930,1340,2020/05/1,930
931,1123,2020/05/1,931
932,688,2020/05/1,932
933,1817,2020/05/1,933
934,1532,2020/05/1,934
935,59,2020/05/1,935
936,758,2020/05/1,936
937,405,2020/05/1,937
938,1418,2020/05/1,938
939,153,2020/05/1,939
940,977,2020/05/1,940
941,993,2020/05/1,941
942,103,2020/05/1,942
943,1417,2020/05/1,943
944,1196,2020/05/1,944
945,57,2020/05/1,945
946,1345,2020/05/1,946
947,286,2020/05/1,947
948,1905,2020/05/1,948
949,1265,2020/05/1,949
950,1056,2020/05/1,950
951,1968,2020/05/1,951
952,1999,2020/05/1,952
953,766,2020/05/1,953
954,1070,2020/05/1,954
955,1180,2020/05/1,955
956,335,2020/05/1,956
957,1566,2020/05/1,957
958,615,2020/05/1,958
959,318,2020/05/1,959
960,925,2020/05/1,960
961,986,2020/05/1,961
962,1324,2020/05/1,962
963,677,2020/05/1,963
964,600,2020/05/1,964
965,1898,2020/05/1,965
966,1799,2020/05/1,966
967,1915,2020/05/1,967
968,1628,2020/05/1,968
969,1528,2020/05/1,969
970,532,2020/05/1,970
971,1476,2020/05/1,971
972,1175,2020/05/1,972
973,1804,2020/05/1,973
974,1684,2020/05/1,974
975,798,2020/05/1,975
976,1703,2020/05/1,976
977,493,2020/05/1,977
978,1450,2020/05/1,978
979,882,2020/05/1,979
980,619,2020/05/1,980
981,1573,2020/05/1,981
982,151,2020/05/1,982
983,1100,2020/05/1,983
984,800,2020/05/1,984
985,1011,2020/05/1,985
986,439,2020/05/1,986
987,957,2020/05/1,987
988,1133,2020/05/1,988
989,937,2020/05/1,989
990,422,2020/05/1,990
991,1952,2020/05/1,991
992,987,2020/05/1,992
993,816,2020/05/1,993
994,906,2020/05/1,994
995,71,2020/05/1,995
996,227,2020/05/1,996
997,1021,2020/05/1,997
998,1596,2020/05/1,998
999,299,2020/05/1,999
1000,558,2020/05/1,1000
1001,625,2020/05/1,1001
1002,847,2020/05/1,1002
1003,810,2020/05/1,1003
1004,578,2020/05/1,1004
1005,1599,2020/05/1,1005
1006,964,2020/05/1,1006
1007,1533,2020/05/1,1007
1008,46,2020/05/1,1008
1009,396,2020/05/1,1009
1010,1611,2020/05/1,1010
1011,874,2020/05/1,1011
1012,816,2020/05/1,1012
1013,622,2020/05/1,1013
1014,162,2020/05/1,1014
1015,1040,2020/05/1,1015
1016,1236,2020/05/1,1016
1017,1550,2020/05/1,1017
1018,906,2020/05/1,1018
1019,1585,2020/05/1,1019
1020,584,2020/05/1,1020
1021,642,2020/05/1,1021
1022,1531,2020/05/1,1022
1023,1006,2020/05/1,1023
1024,846,2020/05/1,1024
1025,367,2020/05/1,1025
1026,1782,2020/05/1,1026
1027,485,2020/05/1,1027
1028,488,2020/05/1,1028
1029,1612,2020/05/1,1029
