id,direccion,cupos,operador,tipo
60180,uZhm7G pZM,1,30090,CUARTO
60181,Qq4oqGvU2M,4,30091,CUARTO
60182,qpa3bfXJn8,1,30091,CUARTO
60183,QcF9u6Ifs8,2,30092,CUARTO
60184,0ov EaUC6w,4,30092,CUARTO
60185,mJUeDvubrg,2,30093,CUARTO
60186,T43i8eOTH4,4,30093,CUARTO
60187,taJGwEQc13,2,30094,CUARTO
60188,nE2aBvVDJq,1,30094,CUARTO
60189,QJhHf5b9ST,1,30095,CUARTO
60190,duGwFJDjag,1,30095,CUARTO
60191,eNC99EWWtw,1,30096,CUARTO
60192,KSR7FqgkTT,2,30096,CUARTO
60193,xM6p6ygRQm,2,30097,CUARTO
60194,uw5ZRbMH8H,4,30097,CUARTO
60195,e5NIQs6FHT,1,30098,CUARTO
60196,U0h54e8AXq,4,30098,CUARTO
60197,JEKZAC2w1c,3,30099,CUARTO
60198,twHHPCRqZM,1,30099,CUARTO
60199,JM5fp7cTx2,2,30100,CUARTO
60200,SK4ZmeztpY,3,30100,CUARTO
60201,99lslvZzQi,2,30101,CUARTO
60202,Ad9zq1k 6s,4,30101,CUARTO
60203,0smNxLH6Aw,1,30102,CUARTO
60204,c204PlMczE,4,30102,CUARTO
60205,dMzIIetL v,1,30103,CUARTO
60206,aBbHe3nSi4,3,30103,CUARTO
60207,A2AjDbSy4T,1,30104,CUARTO
60208,gX7RPPTXfc,2,30104,CUARTO
60209,6hMbg7MGcd,4,30105,CUARTO
60210,7s963kHxUn,4,30105,CUARTO
60211,ECkmYLlEC ,1,30106,CUARTO
60212,zObU9tMwyQ,4,30106,CUARTO
60213,BUFQJVBrSp,4,30107,CUARTO
60214,j6VMzCBWP3,3,30107,CUARTO
60215,8B9MYZw38j,2,30108,CUARTO
60216,LHiOuwnY0k,2,30108,CUARTO
60217,9gMA2fClng,3,30109,CUARTO
60218,uo0x0B7jVn,2,30109,CUARTO
60219,pXk2z4SlwS,2,30110,CUARTO
60220,QOYd7mwziX,1,30110,CUARTO
60221,4I8SU4H81B,2,30111,CUARTO
60222,CGjemYFDp4,4,30111,CUARTO
60223,rQUxcNUfOe,1,30112,CUARTO
60224,BRwh68sYAn,3,30112,CUARTO
60225,YJiAzM2Yq7,1,30113,CUARTO
60226,Tj2yDoar9G,2,30113,CUARTO
60227,fNmtJuSpwW,4,30114,CUARTO
60228,tF3 BRnn8T,4,30114,CUARTO
60229,3KcHJkgaj8,2,30115,CUARTO
60230,r2jFFZQYeO,1,30115,CUARTO
60231,UVTkRJ3Txo,4,30116,CUARTO
60232,gDjdupkUsC,1,30116,CUARTO
60233,NiCA1986RR,3,30117,CUARTO
60234,IOXXADqCtr,4,30117,CUARTO
60235,9W8F83k5WU,4,30118,CUARTO
60236,4kFa2r5oRM,2,30118,CUARTO
60237,ERV4M76amA,3,30119,CUARTO
60238,x3G5BCU08M,3,30119,CUARTO
60239,uJJgR7VRfL,3,30120,CUARTO
60240,75oI1LMX0s,3,30120,CUARTO
60241,PlKf932nS1,3,30121,CUARTO
60242,s2RkkMN9oY,4,30121,CUARTO
60243,2C5bg6i8pD,3,30122,CUARTO
60244,USfRsdjzQ ,1,30122,CUARTO
60245,74cLz3FjRc,3,30123,CUARTO
60246,fJyCb3YTRk,3,30123,CUARTO
60247,vVl VJ39jq,3,30124,CUARTO
60248,qU4AyuTWEQ,1,30124,CUARTO
60249,aBLoluD2M8,2,30125,CUARTO
60250,foBw6O3OJ3,2,30125,CUARTO
60251,xVY1jONtsr,1,30126,CUARTO
60252,STqZLOPrKM,4,30126,CUARTO
60253,l3dVvmlNpN,1,30127,CUARTO
60254,mSHWl4hBy0,2,30127,CUARTO
60255,3Velud6Uux,4,30128,CUARTO
60256,7Z7Qbr7KwG,4,30128,CUARTO
60257,eaIxDc14w4,2,30129,CUARTO
60258,n3XX8zpFwo,2,30129,CUARTO
60259,y2LYX 9LDG,3,30130,CUARTO
60260,uplkoCSdtv,1,30130,CUARTO
60261,zXdFWC18ZF,2,30131,CUARTO
60262,7G8sEeSp1J,2,30131,CUARTO
60263,NtWchdebUm,3,30132,CUARTO
60264,fIlshb muZ,3,30132,CUARTO
60265,FdjVYu3FqY,3,30133,CUARTO
60266,KJiR1VUCgi,1,30133,CUARTO
60267,tGrBBZXU7M,3,30134,CUARTO
60268,l1iKEhDi4z,3,30134,CUARTO
60269,kZ0zlGC0XO,3,30135,CUARTO
60270,AFspFCcNWM,3,30135,CUARTO
60271,vjijJHXFkW,1,30136,CUARTO
60272,6k35uLk5OA,1,30136,CUARTO
60273,zgxB6S1akg,1,30137,CUARTO
60274,1ra3oOLxLU,4,30137,CUARTO
60275,jBPZvuzy5p,3,30138,CUARTO
60276,BWd7Tr1Cxq,4,30138,CUARTO
60277,vVIeHCtm4s,2,30139,CUARTO
60278,7vhIcBplN9,2,30139,CUARTO
60279,XPp2b6Le8P,1,30140,CUARTO
60280,Twn3Y8W9Vh,1,30140,CUARTO
60281,lUhO rALJ ,4,30141,CUARTO
60282,JSubYV2PAV,1,30141,CUARTO
60283,VQwohA2UTD,1,30142,CUARTO
60284,03sS7NoP4G,4,30142,CUARTO
60285,Lvdx kn9Gb,1,30143,CUARTO
60286,W3W9pz6nrL,4,30143,CUARTO
60287,3Thi3L29h7,3,30144,CUARTO
60288,Ano DQ4X63,4,30144,CUARTO
60289,p9V4iBXgjH,4,30145,CUARTO
60290,MEaHloZhTe,2,30145,CUARTO
60291,vmzxvRHzg4,2,30146,CUARTO
60292,JZ4wODZwW5,4,30146,CUARTO
60293,YglRYSz4DO,4,30147,CUARTO
60294,fNXuStegqW,3,30147,CUARTO
60295,bgQzE 5qo ,2,30148,CUARTO
60296,G3b k49wGJ,1,30148,CUARTO
60297,B3axIyJf3I,4,30149,CUARTO
60298,tvpF5ngqUR,3,30149,CUARTO
60299,WgKNyRhfaj,4,30150,CUARTO
60300,d334U92AVR,2,30150,CUARTO
60301,hANHQ5z8Df,1,30151,CUARTO
60302,AMTAsNKNkL,2,30151,CUARTO
60303,XB4XEUR sJ,4,30152,CUARTO
60304,J6DaJDF31N,4,30152,CUARTO
60305,UJLInsbbLf,2,30153,CUARTO
60306,0SBCbC0Wk6,2,30153,CUARTO
60307,qkqKlI D J,3,30154,CUARTO
60308,5H7KDn5PrC,2,30154,CUARTO
60309,KZFX6jZcJ1,1,30155,CUARTO
60310,aC Uf9E3YV,2,30155,CUARTO
60311,XuPXLGtIj ,1,30156,CUARTO
60312,XTfo6Vjgdp,1,30156,CUARTO
60313,WYdBwRDpGk,3,30157,CUARTO
60314,3zQQrt87i5,1,30157,CUARTO
60315,FItWgQNAXX,2,30158,CUARTO
60316,aNQUnyZ97h,1,30158,CUARTO
60317,EtBF3UBKN ,4,30159,CUARTO
60318,1YWhfb5OjY,3,30159,CUARTO
60319,Sf3vJM pvG,2,30160,CUARTO
60320,RCQVmqP5 W,4,30160,CUARTO
60321,p8gAaZO12A,4,30161,CUARTO
60322,oFL5arS3CD,4,30161,CUARTO
60323,gUyTfyXBxF,4,30162,CUARTO
60324,IWNqJESCvC,1,30162,CUARTO
60325,eQzX4G45cr,3,30163,CUARTO
60326,3sSoFw8Jx2,3,30163,CUARTO
60327,1fQ9mOhsuN,3,30164,CUARTO
60328,5eyvFGfv0X,4,30164,CUARTO
60329,npoei34r4b,3,30165,CUARTO
60330,tm0mfrs73y,4,30165,CUARTO
60331,e9sHyuMm4I,3,30166,CUARTO
60332,LgPhbQ3f68,1,30166,CUARTO
60333,pqwUJfi126,4,30167,CUARTO
60334,deYA Co9YM,1,30167,CUARTO
60335,1P09O7tNOa,2,30168,CUARTO
60336,ocHj2SvT78,1,30168,CUARTO
60337,3IEMNVlvq3,3,30169,CUARTO
60338,GecCtBqQNO,1,30169,CUARTO
60339,CwMq1rEMVF,1,30170,CUARTO
60340,YdDLyPrsmG,4,30170,CUARTO
60341,RbTgj9hm6g,1,30171,CUARTO
60342,l94foJb5eB,2,30171,CUARTO
60343,5rX VmUcEa,3,30172,CUARTO
60344,EJzOuOfJwv,4,30172,CUARTO
60345,9RxpmMIsmx,3,30173,CUARTO
60346,EprYh5RRXd,3,30173,CUARTO
60347,0rOWZX18zm,4,30174,CUARTO
60348,7RbNJpemkW,1,30174,CUARTO
60349,krwWHf1T R,1,30175,CUARTO
60350,nqKu0TXOw3,1,30175,CUARTO
60351,FOg9vQYE9U,1,30176,CUARTO
60352,Ztmf2yOKqZ,4,30176,CUARTO
60353,nfDxfyxJHY,2,30177,CUARTO
60354,zGkt6jqPbu,2,30177,CUARTO
60355,Wgs1rbWMKT,3,30178,CUARTO
60356,IVgjCy3YmG,2,30178,CUARTO
60357,a Vf 0JqUy,1,30179,CUARTO
60358,YeOnpdeV9j,3,30179,CUARTO
60359,yKIgAf8Ujt,3,30180,CUARTO
60360,VPKIKKnqUV,2,30180,CUARTO
60361,rtVbfAOb4J,1,30181,CUARTO
60362,JFE23uvhxm,2,30181,CUARTO
60363,kyuT3HI7Ri,4,30182,CUARTO
60364,wyXZdTCOH6,4,30182,CUARTO
60365,q5bZgl4at3,3,30183,CUARTO
60366,MnxbLKyWds,1,30183,CUARTO
60367,1VnT0k10bk,4,30184,CUARTO
60368,4vJAsqGT5G,2,30184,CUARTO
60369,9ELvkLLrk4,2,30185,CUARTO
60370,Hlt3BmJ263,2,30185,CUARTO
60371,lBHXDNnHEN,2,30186,CUARTO
60372,HbRnvK0dZx,1,30186,CUARTO
60373,5obrIHy47X,4,30187,CUARTO
60374,SSbVGwYcP2,1,30187,CUARTO
60375,xqJmBCSYsC,4,30188,CUARTO
60376,BruyrgWIKi,2,30188,CUARTO
60377,lS1izaUY8l,1,30189,CUARTO
60378,ibXDUbj pC,3,30189,CUARTO
60379,xhh8HskO A,2,30190,CUARTO
60380,W5PjnGUMSB,1,30190,CUARTO
60381,uehgcexua0,2,30191,CUARTO
60382,TAHESpOZ0i,2,30191,CUARTO
60383,9YEhhLctIA,3,30192,CUARTO
60384,vAF5NXUrqI,3,30192,CUARTO
60385,AjTKc4ys06,3,30193,CUARTO
60386,kYgY0EPaKi,2,30193,CUARTO
60387,48YYN3lhSF,2,30194,CUARTO
60388,7hNz2PuZUX,2,30194,CUARTO
60389,6vlWpA5XAs,2,30195,CUARTO
60390,rWJcHKBhCm,3,30195,CUARTO
60391,EGKydbBIpS,4,30196,CUARTO
60392,YuvW3cmX7j,1,30196,CUARTO
60393,NK5wcCyhuh,2,30197,CUARTO
60394,NhrUnL9ED ,3,30197,CUARTO
60395,fo4BJhKs3Y,2,30198,CUARTO
60396,JDH3eN53OE,4,30198,CUARTO
60397,fUF5CkXPc7,3,30199,CUARTO
60398,6KbphcdVR0,1,30199,CUARTO
60399,516hawfzAt,1,30200,CUARTO
60400,xUZKuOD5kG,3,30200,CUARTO
60401,ZY9QYqgeYY,2,30201,CUARTO
60402,26tdwxtZ8J,1,30201,CUARTO
60403,BTUjYZz0fc,1,30202,CUARTO
60404,54 t2iIIiI,3,30202,CUARTO
60405,cHCG7FObGq,4,30203,CUARTO
60406,e8Po6WWWXs,3,30203,CUARTO
60407,CcPsVcFdJI,2,30204,CUARTO
60408,gMSIPa4Rik,3,30204,CUARTO
60409,nO7CNaIxUR,3,30205,CUARTO
60410,StGqnp1hjJ,2,30205,CUARTO
60411,CfrEiYcyFx,2,30206,CUARTO
60412,7sAvupCQej,3,30206,CUARTO
60413,poxx3 hilX,2,30207,CUARTO
60414,kOy41P8fFU,1,30207,CUARTO
60415,HIONKVszTV,3,30208,CUARTO
60416,o6fKC8yveU,3,30208,CUARTO
60417,dWYBTVCjhH,2,30209,CUARTO
60418,NlkemYapH1,2,30209,CUARTO
60419,dQlUGpK0ek,2,30210,CUARTO
60420,8B5nC9bAb1,3,30210,CUARTO
60421,5lM0l3FwL3,2,30211,CUARTO
60422,L8GWxHIdb ,1,30211,CUARTO
60423,cEnLUowg2e,3,30212,CUARTO
60424,2o8hhyXMga,2,30212,CUARTO
60425,V DOxtJ8o4,3,30213,CUARTO
60426,JjkUdznSnP,3,30213,CUARTO
60427,Qp3NRq  6G,2,30214,CUARTO
60428,WA07iEDqe ,2,30214,CUARTO
60429,8Dfl2cFQY9,2,30215,CUARTO
60430,ZIAKs5ahEs,2,30215,CUARTO
60431,2mIPI4aI45,2,30216,CUARTO
60432,55efm qFkN,2,30216,CUARTO
60433,jpSxlG1Vf9,1,30217,CUARTO
60434,COiF6QZUnP,2,30217,CUARTO
60435,qsTGdgzQfd,3,30218,CUARTO
60436,aMKZK2ANb ,3,30218,CUARTO
60437,HQwr4lMid5,4,30219,CUARTO
60438,IIJ4vHYXWa,1,30219,CUARTO
60439,HNuiSCchRL,3,30220,CUARTO
60440,OmQ89VXimk,2,30220,CUARTO
60441,S9mUVoLSXL,1,30221,CUARTO
60442,NoHF8DgCsv,2,30221,CUARTO
60443,uwLwQJh94W,3,30222,CUARTO
60444,nCLzLHycgm,1,30222,CUARTO
60445,oGE LJRaGb,1,30223,CUARTO
60446,EqXbn0SY U,1,30223,CUARTO
60447,tEc9AlIos9,4,30224,CUARTO
60448,a7XvjImtmi,3,30224,CUARTO
60449,dvEl7JpDBL,3,30225,CUARTO
60450, 7QvPdVhpn,3,30225,CUARTO
60451,QrU2DhAX9y,4,30226,CUARTO
60452,Rmrfi1PPSd,3,30226,CUARTO
60453,YL55VtQ706,1,30227,CUARTO
60454,29EsyATkqg,3,30227,CUARTO
60455,JFuKCFJ99m,1,30228,CUARTO
60456,5dvIdVqWPI,3,30228,CUARTO
60457,cBkP9RI8WS,1,30229,CUARTO
60458,DiJRB44gQ5,1,30229,CUARTO
60459,Uy1UJH9aPm,2,30230,CUARTO
60460,9Ps9H9IV3u,4,30230,CUARTO
60461,VvGrflQBvC,4,30231,CUARTO
60462,x4VZmIy9OF,4,30231,CUARTO
60463,fu6OMrX1Jq,1,30232,CUARTO
60464,tz8Tmsx5Oq,4,30232,CUARTO
60465,gR3vRyH8XV,2,30233,CUARTO
60466,944pspd5qi,3,30233,CUARTO
60467,IdUe3FrcaP,3,30234,CUARTO
60468,tlxBbNjwLv,2,30234,CUARTO
60469,SqhfVOQY3L,3,30235,CUARTO
60470,MC7u 61XMk,4,30235,CUARTO
60471,3xHRFDwEPM,4,30236,CUARTO
60472,ecTNkv6UWH,4,30236,CUARTO
60473,UZis7hugGL,2,30237,CUARTO
60474,AZSSTGCUhK,2,30237,CUARTO
60475,MiMdPb 89d,3,30238,CUARTO
60476,VsxXR85uI ,3,30238,CUARTO
60477,euGoyX1Ffx,1,30239,CUARTO
60478,uGhBAN0EKD,4,30239,CUARTO
60479,6CqRjVa9wu,4,30240,CUARTO
60480,vKwR0hMe1v,2,30240,CUARTO
60481,9eMD3uiPsX,3,30241,CUARTO
60482,nEq19zAL7J,3,30241,CUARTO
60483,zl07eGG30n,4,30242,CUARTO
60484,6X1oobXFwH,1,30242,CUARTO
60485,Tt2tHL4esg,2,30243,CUARTO
60486,oecTjkhlrJ,2,30243,CUARTO
60487,7uTm9BFrwz,3,30244,CUARTO
60488,B SpfpvH5I,3,30244,CUARTO
60489,cQ7dse6fj1,4,30245,CUARTO
60490,ZZUuTy11w0,3,30245,CUARTO
60491,rVf eQVWaS,2,30246,CUARTO
60492,lBQSxotHu0,2,30246,CUARTO
60493,DQVNRtNZRt,3,30247,CUARTO
60494,Oqv fEFa5b,2,30247,CUARTO
60495,tCXbEzTMkf,3,30248,CUARTO
60496,WzzJUpxBvn,2,30248,CUARTO
60497,mJy8DxtMeU,2,30249,CUARTO
60498,bpuXgGhSv3,2,30249,CUARTO
60499,fKTiz7KIlu,1,30250,CUARTO
60500,RN4t6pA5Sp,4,30250,CUARTO
60501,s4YoIuQZpS,4,30251,CUARTO
60502,BDH6yRkOkv,1,30251,CUARTO
60503,aT6mtJrBTt,1,30252,CUARTO
60504,QHCxHG4gkV,1,30252,CUARTO
60505,g tcCh5H2h,4,30253,CUARTO
60506,hR7w 6sfAw,3,30253,CUARTO
60507,2FsV1o7cnw,1,30254,CUARTO
60508,aF1qJQTGwd,1,30254,CUARTO
60509,0Ho9EHJSR7,3,30255,CUARTO
60510,O00eVhiRen,2,30255,CUARTO
60511,06KQZas5n2,3,30256,CUARTO
60512,5Cy3UGEmKT,4,30256,CUARTO
60513,cBZXB3L9w1,2,30257,CUARTO
60514,7itmDVayil,3,30257,CUARTO
60515,izACLwh2EP,2,30258,CUARTO
60516,JVggc PQ0L,2,30258,CUARTO
60517,gMyO8KkxkW,2,30259,CUARTO
60518,FIUubcAG5q,2,30259,CUARTO
60519,tcNnqB4lVc,2,30260,CUARTO
60520,ts9TEKAyNg,3,30260,CUARTO
60521,g21iAv9MKW,4,30261,CUARTO
60522,Ui0mtk87Tm,3,30261,CUARTO
60523,eghXDDcU8s,1,30262,CUARTO
60524,hlWukUsLlv,1,30262,CUARTO
60525,gWB5P R4vO,2,30263,CUARTO
60526,dSs6bN1Nn6,1,30263,CUARTO
60527,0RLbTQQ0s9,4,30264,CUARTO
60528,7CWKdf8g4Y,2,30264,CUARTO
60529,tYPuRsBFjn,3,30265,CUARTO
60530,RHxCIK16xa,3,30265,CUARTO
60531,qON6ySISZz,2,30266,CUARTO
60532,XSbGrQxtmw,2,30266,CUARTO
60533,WAoLYQWNJG,4,30267,CUARTO
60534,cENvMJiidb,3,30267,CUARTO
60535,8jCw188WLi,1,30268,CUARTO
60536,nl3La6r1E5,1,30268,CUARTO
60537,jzVDPz2OSd,3,30269,CUARTO
60538,j2gUZqd1kx,3,30269,CUARTO
60539,CRatytFyZv,4,30270,CUARTO
60540,viiav2EdJ1,4,30270,CUARTO
60541,5zaodbg1GO,3,30271,CUARTO
60542,b 6TR6xY 5,3,30271,CUARTO
60543,fS30JHgluM,3,30272,CUARTO
60544,Kakokawbv8,3,30272,CUARTO
60545,tCBRj8Dx88,3,30273,CUARTO
60546,7JhxruK9RM,3,30273,CUARTO
60547,i ansiCbO9,4,30274,CUARTO
60548,i5r1W8Zacc,3,30274,CUARTO
60549,gJw aMwFEa,2,30275,CUARTO
60550,7YYxZ7ctvF,2,30275,CUARTO
60551,a6owHsLL6d,3,30276,CUARTO
60552,NY2J8Yu3Ow,4,30276,CUARTO
60553,bIiLU8wBzz,3,30277,CUARTO
60554,Ucx dmDeJq,4,30277,CUARTO
60555,bdfSILCLvU,2,30278,CUARTO
60556,2KcZZTugpE,3,30278,CUARTO
60557, 7JRJvjgID,2,30279,CUARTO
60558,p bIP05FWr,3,30279,CUARTO
60559,24CDO FGiu,4,30280,CUARTO
60560,xDeIxH74TP,3,30280,CUARTO
60561,szJgxlYr9w,1,30281,CUARTO
60562,3FSAQuxPKC,4,30281,CUARTO
60563,XA bMcoF0H,1,30282,CUARTO
60564,jOEkGfLEkK,1,30282,CUARTO
60565,g9RxXCJasq,1,30283,CUARTO
60566,k7lYIEJbSl,2,30283,CUARTO
60567,ofv3WpTfCK,2,30284,CUARTO
60568,OhDSvDHqmY,4,30284,CUARTO
