id,tipo_hoteleria,hora_apertura,hora_cierre
50,HOTEL,2:00:11,13:38:12
51,HOTEL,5:24:22,17:19:18
52,HOSTAL,1:46:13,15:01:28
53,HOTEL,3:14:38,17:26:19
54,HOSTAL,1:47:49,21:38:19
55,HOSTAL,5:08:51,18:01:56
56,HOTEL,2:46:25,23:15:40
57,HOTEL,4:36:50,14:23:58
58,HOSTAL,3:03:56,17:29:12
59,HOSTAL,10:24:29,21:03:51
60,HOSTAL,9:07:03,13:52:59
61,HOSTAL,1:22:24,23:55:51
62,HOSTAL,5:33:30,20:39:14
63,HOSTAL,4:44:56,15:14:36
64,HOTEL,9:19:38,15:07:55
65,HOSTAL,5:08:58,20:26:43
66,HOTEL,11:12:57,22:13:38
67,HOTEL,7:49:14,20:14:35
68,HOTEL,10:11:32,16:41:00
69,HOSTAL,1:18:13,14:00:26
70,HOTEL,9:27:05,19:46:56
71,HOTEL,4:15:05,19:34:47
72,HOTEL,0:57:42,17:28:08
73,HOTEL,5:18:22,21:39:20
74,HOSTAL,9:52:08,19:23:23
75,HOSTAL,0:50:28,22:58:40
76,HOSTAL,4:38:10,14:03:40
77,HOSTAL,0:56:27,14:33:31
78,HOSTAL,2:14:10,13:56:29
79,HOTEL,5:14:29,20:00:26
80,HOTEL,3:51:03,19:01:03
81,HOTEL,4:27:54,23:23:51
82,HOSTAL,4:45:11,17:44:51
83,HOSTAL,10:01:41,20:03:49
84,HOSTAL,9:53:23,19:03:26
85,HOTEL,5:59:13,13:46:03
86,HOSTAL,5:22:15,21:42:05
87,HOSTAL,11:11:55,21:46:13
88,HOSTAL,1:14:08,18:50:37
89,HOTEL,2:24:29,14:21:42
90,HOTEL,3:07:07,23:23:03
91,HOSTAL,1:20:14,22:32:20
92,HOTEL,8:42:48,19:48:27
93,HOTEL,4:36:24,15:02:53
94,HOSTAL,7:53:19,17:16:23
95,HOSTAL,10:42:32,20:06:25
96,HOTEL,11:39:43,17:32:05
97,HOTEL,10:32:38,16:13:17
98,HOTEL,11:55:29,18:25:26
99,HOTEL,8:16:24,20:49:58
100,HOTEL,5:38:25,23:24:45
101,HOTEL,10:08:50,17:45:36
102,HOTEL,9:03:44,22:15:24
103,HOTEL,3:06:10,18:52:37
104,HOTEL,2:42:46,22:46:44
105,HOTEL,2:14:44,20:15:38
106,HOTEL,3:29:30,14:32:18
107,HOTEL,2:17:01,20:40:27
108,HOTEL,4:12:23,18:29:10
109,HOSTAL,11:56:51,13:02:23
110,HOTEL,7:53:46,19:29:10
111,HOTEL,8:07:28,15:23:08
112,HOTEL,3:55:11,13:51:00
113,HOSTAL,10:01:06,14:08:23
114,HOSTAL,3:42:17,20:02:38
115,HOTEL,6:25:55,15:18:00
116,HOSTAL,8:33:23,19:31:03
117,HOSTAL,8:34:56,15:55:26
118,HOSTAL,8:22:26,21:45:18
119,HOTEL,10:31:44,14:50:10
120,HOTEL,5:42:14,19:10:45
121,HOTEL,4:00:47,16:06:07
122,HOTEL,7:49:53,21:36:16
123,HOTEL,8:00:22,14:31:35
124,HOTEL,8:27:09,16:29:55
125,HOTEL,11:45:41,14:02:14
126,HOSTAL,3:25:29,20:57:46
127,HOTEL,1:56:57,21:22:57
128,HOTEL,4:20:20,23:15:23
129,HOSTAL,0:32:13,19:29:28
130,HOSTAL,6:08:54,22:45:12
131,HOSTAL,4:14:40,13:31:41
132,HOTEL,2:27:11,21:06:03
133,HOSTAL,2:34:16,23:21:29
134,HOSTAL,5:59:44,13:54:31
135,HOTEL,11:50:04,21:12:47
136,HOTEL,0:15:16,19:11:19
137,HOSTAL,8:38:11,15:39:38
138,HOTEL,4:04:05,19:54:18
139,HOSTAL,0:13:12,16:58:25
140,HOTEL,3:47:53,16:52:01
141,HOSTAL,1:28:58,23:10:12
142,HOTEL,0:30:32,13:07:44
143,HOSTAL,11:30:59,20:06:40
144,HOTEL,9:51:39,17:10:30
145,HOTEL,4:27:39,13:31:45
146,HOTEL,1:11:57,16:16:58
147,HOTEL,2:57:17,19:07:00
148,HOSTAL,3:53:54,14:04:19
149,HOTEL,1:42:52,14:50:09
150,HOSTAL,1:06:22,17:04:41
151,HOSTAL,9:58:39,14:26:30
152,HOSTAL,6:41:38,14:47:35
153,HOSTAL,8:40:45,17:58:39
154,HOTEL,7:22:03,23:59:52
155,HOSTAL,1:55:38,14:01:05
156,HOSTAL,5:27:35,19:04:32
157,HOSTAL,11:38:45,15:23:51
158,HOSTAL,2:55:44,13:51:58
159,HOSTAL,2:46:31,20:13:58
160,HOSTAL,1:05:14,13:42:47
161,HOSTAL,0:06:22,16:00:10
162,HOSTAL,4:21:04,15:32:02
163,HOSTAL,5:31:09,17:16:18
164,HOTEL,4:07:23,21:48:23
165,HOSTAL,6:54:21,15:14:13
166,HOSTAL,7:52:23,20:17:01
167,HOTEL,2:13:15,13:23:59
168,HOSTAL,1:14:53,17:19:18
169,HOSTAL,4:53:45,15:07:44
170,HOSTAL,3:18:19,19:24:45
171,HOTEL,5:57:34,22:51:13
172,HOTEL,11:22:01,13:30:23
173,HOTEL,2:50:16,19:15:59
174,HOTEL,10:57:42,14:24:41
175,HOSTAL,2:07:45,19:43:20
176,HOTEL,5:51:09,23:39:32
177,HOTEL,10:38:50,16:29:23
178,HOSTAL,4:26:03,23:19:43
179,HOSTAL,3:41:06,19:37:00
180,HOTEL,11:17:32,13:52:55
181,HOTEL,8:56:49,19:47:07
182,HOTEL,2:57:18,20:26:36
183,HOSTAL,9:55:46,20:29:07
184,HOTEL,6:22:35,17:38:19
185,HOTEL,0:00:42,19:34:30
186,HOTEL,0:36:26,15:35:24
187,HOTEL,5:57:29,13:25:49
188,HOSTAL,9:01:17,22:18:27
189,HOSTAL,0:04:15,22:37:39
190,HOSTAL,5:30:54,21:21:06
191,HOSTAL,0:03:58,20:59:24
192,HOTEL,7:40:23,15:58:58
193,HOTEL,1:23:47,18:24:33
194,HOSTAL,8:32:07,19:29:40
195,HOSTAL,11:10:37,22:11:32
196,HOSTAL,8:14:59,15:32:10
197,HOSTAL,0:26:25,20:22:24
198,HOTEL,6:32:06,17:22:05
199,HOTEL,10:35:05,16:21:19
200,HOTEL,0:31:27,23:28:55
201,HOSTAL,9:20:13,18:45:31
202,HOTEL,6:08:57,17:41:28
203,HOSTAL,2:44:58,14:40:43
204,HOTEL,0:27:14,19:11:08
205,HOTEL,7:53:15,16:42:27
206,HOSTAL,0:21:22,17:41:21
207,HOSTAL,2:41:12,18:28:37
208,HOSTAL,11:25:46,22:42:01
209,HOSTAL,4:58:53,16:09:52
210,HOSTAL,3:15:11,14:14:12
211,HOTEL,11:49:08,15:04:58
212,HOSTAL,10:12:09,16:04:44
213,HOTEL,0:48:28,17:35:27
214,HOSTAL,10:02:01,22:10:36
215,HOTEL,10:23:26,20:22:14
216,HOSTAL,5:06:12,17:50:15
217,HOTEL,4:08:31,18:30:53
218,HOTEL,2:22:59,23:18:10
219,HOSTAL,11:46:45,21:24:24
220,HOSTAL,6:13:17,15:06:10
221,HOSTAL,10:18:12,20:17:49
222,HOTEL,0:23:20,14:09:31
223,HOSTAL,8:23:47,21:02:22
224,HOSTAL,8:49:23,21:27:42
225,HOSTAL,3:43:40,14:08:26
226,HOSTAL,9:43:39,18:40:35
227,HOSTAL,3:18:05,14:47:28
228,HOTEL,0:10:48,21:31:11
229,HOSTAL,1:48:11,23:44:05
230,HOTEL,10:35:18,14:15:47
231,HOSTAL,11:39:59,13:17:55
232,HOTEL,6:28:07,17:07:26
233,HOSTAL,4:10:24,14:50:32
234,HOTEL,4:22:18,17:12:40
235,HOSTAL,2:43:10,14:54:06
236,HOSTAL,7:48:52,20:19:27
237,HOSTAL,9:52:51,23:48:33
238,HOTEL,10:22:52,23:13:59
239,HOSTAL,10:55:05,17:05:39
240,HOTEL,1:56:41,17:15:40
241,HOTEL,1:23:24,21:12:11
242,HOTEL,9:38:28,17:53:45
243,HOSTAL,1:48:01,19:11:31
244,HOTEL,0:30:21,16:27:29
245,HOTEL,9:24:56,16:45:03
246,HOTEL,4:15:05,17:28:18
247,HOSTAL,9:13:03,23:29:43
248,HOTEL,1:31:57,17:18:54
249,HOTEL,4:05:27,15:54:57
250,HOTEL,5:19:26,21:51:27
251,HOTEL,9:00:16,17:45:40
252,HOTEL,10:57:47,14:42:52
253,HOTEL,7:03:43,13:31:14
254,HOTEL,10:24:16,16:34:03
255,HOTEL,7:30:05,18:25:03
256,HOTEL,8:15:19,16:22:41
257,HOSTAL,8:07:59,15:58:12
258,HOTEL,11:08:27,14:03:18
259,HOSTAL,0:18:34,22:00:23
260,HOSTAL,6:58:08,23:07:23
261,HOTEL,0:24:14,18:19:20
262,HOTEL,1:56:04,21:51:36
263,HOSTAL,10:58:10,14:12:31
264,HOTEL,4:52:42,13:42:21
265,HOSTAL,2:31:13,20:26:53
266,HOSTAL,1:35:41,13:18:49
267,HOSTAL,10:56:48,15:14:58
268,HOSTAL,4:53:48,13:36:18
269,HOSTAL,1:00:05,22:23:30
270,HOTEL,9:55:58,20:53:51
271,HOSTAL,0:15:40,19:18:06
272,HOTEL,1:17:38,21:49:01
273,HOTEL,7:16:56,17:22:37
274,HOTEL,11:13:45,18:44:22
275,HOTEL,11:22:36,20:26:42
276,HOSTAL,3:53:57,22:40:38
277,HOTEL,11:18:15,20:24:29
278,HOTEL,1:40:43,13:06:15
279,HOSTAL,10:46:48,16:34:10
280,HOTEL,5:23:54,22:27:31
281,HOSTAL,5:26:22,22:34:35
282,HOTEL,3:19:45,19:55:41
283,HOTEL,8:47:57,20:10:50
284,HOSTAL,8:37:52,19:04:29
285,HOTEL,11:32:34,15:04:53
286,HOSTAL,5:36:18,13:41:36
287,HOTEL,7:52:54,15:46:53
288,HOSTAL,0:42:06,20:43:50
289,HOSTAL,9:48:29,14:04:32
290,HOSTAL,2:47:44,14:07:15
291,HOTEL,8:37:09,15:12:04
292,HOTEL,9:42:44,19:01:57
293,HOSTAL,11:21:23,19:41:45
294,HOSTAL,8:55:09,17:14:35
295,HOTEL,3:39:54,13:19:51
296,HOTEL,8:24:50,15:48:29
297,HOTEL,7:33:58,19:15:39
298,HOSTAL,8:54:50,17:02:17
299,HOTEL,2:09:13,13:56:59
300,HOSTAL,9:54:22,14:29:28
301,HOTEL,2:29:49,22:39:50
302,HOTEL,9:39:19,16:23:58
303,HOSTAL,4:37:10,17:26:54
304,HOTEL,2:36:06,22:46:13
305,HOSTAL,11:46:24,20:42:46
306,HOTEL,7:51:08,23:06:37
307,HOTEL,1:39:15,15:51:41
308,HOTEL,10:43:19,23:01:37
309,HOTEL,6:29:53,23:19:00
310,HOTEL,7:32:23,18:55:04
311,HOSTAL,1:01:23,18:19:13
312,HOSTAL,8:16:47,21:45:13
313,HOSTAL,8:28:25,22:23:14
314,HOSTAL,3:24:24,18:24:04
315,HOSTAL,1:19:16,18:24:13
316,HOSTAL,11:27:51,19:21:36
317,HOSTAL,0:37:19,21:13:46
318,HOTEL,7:38:06,23:31:15
319,HOTEL,8:14:09,19:38:34
320,HOSTAL,10:57:14,20:50:00
321,HOSTAL,0:51:49,18:48:25
322,HOSTAL,1:31:50,15:48:37
323,HOSTAL,11:43:59,22:45:39
324,HOTEL,3:33:53,14:51:42
325,HOTEL,1:53:49,20:46:24
326,HOTEL,9:17:37,16:39:01
327,HOTEL,10:47:47,23:06:26
328,HOTEL,2:23:44,15:16:02
329,HOSTAL,11:17:06,17:11:10
330,HOSTAL,2:10:23,20:36:45
331,HOSTAL,8:37:59,16:11:45
332,HOSTAL,2:44:56,23:35:30
333,HOTEL,9:57:43,19:57:00
334,HOTEL,5:09:23,21:39:49
335,HOSTAL,3:19:30,18:29:01
336,HOSTAL,10:45:14,13:47:30
337,HOSTAL,6:56:34,20:16:48
338,HOTEL,9:46:09,14:31:58
339,HOTEL,5:51:43,22:06:00
340,HOTEL,8:54:41,20:39:25
341,HOSTAL,9:38:49,18:57:30
342,HOSTAL,4:50:27,19:57:33
343,HOTEL,8:18:15,22:53:47
344,HOSTAL,10:23:47,22:53:42
345,HOTEL,9:17:10,14:53:35
346,HOSTAL,5:33:57,14:22:16
347,HOSTAL,11:51:55,19:41:48
348,HOSTAL,1:23:08,14:57:07
349,HOSTAL,0:17:02,22:55:21
350,HOSTAL,6:51:25,15:50:33
351,HOTEL,6:26:41,14:22:53
352,HOTEL,6:49:44,19:59:37
353,HOTEL,11:38:22,20:23:41
354,HOSTAL,3:13:49,16:43:35
355,HOTEL,6:22:30,20:53:57
356,HOSTAL,8:43:09,14:49:26
357,HOTEL,11:04:42,16:27:30
358,HOTEL,4:24:55,16:58:11
359,HOSTAL,7:10:03,13:31:07
360,HOTEL,3:03:00,19:38:33
361,HOTEL,9:20:18,16:18:54
362,HOSTAL,9:49:53,16:11:37
363,HOTEL,10:33:07,14:20:02
364,HOTEL,1:36:55,15:58:54
365,HOTEL,3:45:18,23:51:14
366,HOTEL,5:53:46,23:14:07
367,HOTEL,8:56:32,20:39:32
368,HOTEL,3:25:56,21:24:50
369,HOTEL,0:19:33,18:24:13
370,HOTEL,1:42:30,15:15:37
371,HOSTAL,9:08:44,15:31:03
372,HOTEL,3:26:38,16:38:59
373,HOSTAL,9:06:00,17:10:12
374,HOSTAL,3:48:41,20:13:25
375,HOTEL,9:59:44,21:31:30
376,HOSTAL,7:23:53,22:36:15
377,HOTEL,3:17:18,15:49:39
378,HOTEL,8:21:02,19:30:07
379,HOSTAL,10:15:45,20:31:24
380,HOTEL,10:24:12,22:00:11
381,HOTEL,3:45:20,18:57:17
382,HOTEL,5:51:47,23:33:34
383,HOSTAL,11:58:55,14:28:03
384,HOTEL,10:06:52,21:29:42
385,HOSTAL,9:39:14,15:37:21
386,HOTEL,3:38:08,21:57:35
387,HOTEL,9:04:16,20:41:38
388,HOTEL,6:22:33,21:51:42
389,HOSTAL,4:29:31,18:24:03
390,HOTEL,3:25:40,16:07:42
391,HOSTAL,0:51:50,18:29:29
392,HOSTAL,10:20:31,23:01:13
393,HOTEL,3:05:42,13:53:32
394,HOTEL,9:58:22,23:31:12
395,HOTEL,2:57:30,17:26:45
396,HOSTAL,2:21:40,17:01:21
397,HOTEL,1:40:07,17:02:09
398,HOTEL,5:19:08,18:55:45
399,HOTEL,8:53:41,23:58:33
400,HOSTAL,8:21:36,13:55:35
401,HOTEL,6:52:55,15:49:41
402,HOSTAL,1:47:14,16:38:43
403,HOTEL,1:27:44,19:49:24
404,HOSTAL,9:38:54,18:53:50
405,HOSTAL,10:10:56,18:45:43
406,HOSTAL,10:50:37,18:36:54
407,HOTEL,10:58:32,15:15:02
408,HOTEL,8:21:38,13:24:49
409,HOSTAL,9:41:22,23:51:07
410,HOTEL,5:41:46,21:01:04
411,HOSTAL,4:23:10,14:52:16
412,HOTEL,8:14:39,18:24:21
413,HOTEL,3:49:16,18:45:07
414,HOTEL,8:43:02,19:04:26
415,HOTEL,2:46:03,14:27:59
416,HOSTAL,11:54:52,18:47:38
417,HOSTAL,4:50:50,22:43:59
418,HOSTAL,4:41:18,23:55:03
419,HOTEL,2:57:45,20:29:21
420,HOTEL,2:08:42,20:15:55
421,HOSTAL,0:54:38,21:51:52
422,HOTEL,6:37:50,21:17:43
423,HOSTAL,7:20:52,19:43:32
424,HOTEL,2:08:38,14:19:54
425,HOSTAL,5:48:31,16:29:31
426,HOSTAL,11:38:25,19:39:11
427,HOTEL,1:47:27,23:18:38
428,HOTEL,10:23:32,23:54:17
429,HOTEL,5:15:42,18:51:23
430,HOSTAL,8:24:24,22:53:22
431,HOTEL,8:04:18,19:01:34
432,HOSTAL,9:34:01,17:22:18
433,HOTEL,7:21:12,23:07:49
434,HOTEL,6:56:54,19:55:44
435,HOSTAL,0:01:56,13:34:03
436,HOTEL,0:34:45,18:54:05
437,HOSTAL,2:12:20,14:32:27
438,HOTEL,9:01:28,16:00:42
439,HOTEL,11:47:24,17:57:50
440,HOSTAL,2:59:55,17:48:25
441,HOTEL,10:52:42,23:37:02
442,HOTEL,5:52:43,17:49:24
443,HOTEL,0:10:38,21:24:12
444,HOSTAL,0:43:05,20:36:10
445,HOTEL,7:53:19,22:26:59
446,HOTEL,7:25:03,21:31:13
447,HOSTAL,0:52:30,14:13:20
448,HOTEL,5:07:38,17:26:16
449,HOTEL,4:32:39,22:55:48
450,HOTEL,8:13:27,19:43:52
451,HOSTAL,4:09:07,22:33:09
452,HOTEL,5:11:55,23:45:42
453,HOSTAL,11:58:10,15:44:54
454,HOTEL,10:37:41,15:16:28
455,HOSTAL,9:34:01,22:45:50
456,HOTEL,5:26:39,19:07:03
457,HOSTAL,0:45:54,16:45:43
458,HOTEL,3:48:38,14:46:57
459,HOSTAL,0:55:51,16:18:29
460,HOTEL,6:20:44,15:25:51
461,HOTEL,10:58:26,16:58:07
462,HOTEL,4:58:15,18:38:24
463,HOTEL,5:57:24,13:36:33
464,HOSTAL,10:43:36,16:37:00
465,HOSTAL,11:56:02,23:37:22
466,HOTEL,7:56:25,20:54:44
467,HOTEL,10:37:36,13:19:57
468,HOTEL,6:17:40,23:29:45
469,HOSTAL,6:58:34,14:00:25
470,HOSTAL,3:51:47,23:27:21
471,HOTEL,8:11:17,13:43:54
472,HOTEL,11:35:24,20:51:37
473,HOTEL,1:47:27,23:20:12
474,HOTEL,7:57:08,14:45:24
475,HOSTAL,0:00:15,20:37:29
476,HOTEL,1:41:33,13:32:08
477,HOTEL,5:03:24,23:46:52
478,HOSTAL,2:55:55,22:06:29
479,HOTEL,10:38:02,17:47:59
480,HOTEL,4:56:56,19:39:03
481,HOSTAL,0:37:29,22:21:27
482,HOSTAL,6:35:59,13:33:29
483,HOTEL,3:59:22,22:41:21
484,HOTEL,5:45:09,21:14:58
485,HOTEL,8:02:18,22:10:31
486,HOTEL,6:42:52,19:42:34
487,HOTEL,10:47:48,22:25:48
488,HOSTAL,5:31:29,22:58:37
489,HOTEL,7:22:30,20:56:19
490,HOTEL,0:55:33,15:23:03
491,HOSTAL,9:47:15,13:35:15
492,HOSTAL,0:03:46,17:47:35
493,HOTEL,6:08:00,17:21:15
494,HOSTAL,7:11:36,19:19:28
495,HOTEL,8:14:04,16:28:45
496,HOTEL,2:02:44,19:17:22
497,HOSTAL,1:06:56,13:47:07
498,HOSTAL,0:50:47,18:21:53
499,HOSTAL,7:29:41,22:05:21
500,HOTEL,0:13:59,23:10:00
501,HOSTAL,0:26:37,22:15:31
502,HOTEL,6:20:33,16:40:22
503,HOTEL,11:08:25,19:27:36
504,HOSTAL,5:22:14,22:49:28
505,HOTEL,6:48:16,14:07:34
506,HOTEL,7:08:02,23:50:03
507,HOSTAL,1:42:27,19:28:25
508,HOSTAL,4:23:07,16:40:21
509,HOTEL,9:06:00,17:56:26
510,HOSTAL,5:18:48,14:43:37
511,HOSTAL,1:14:21,15:30:37
512,HOSTAL,4:38:24,15:37:00
513,HOSTAL,2:46:59,22:36:10
514,HOTEL,2:50:49,17:40:32
515,HOSTAL,2:11:39,22:44:38
516,HOTEL,10:24:14,21:22:36
517,HOTEL,1:43:25,16:00:15
518,HOSTAL,1:45:00,20:00:52
519,HOTEL,4:14:15,16:25:36
520,HOSTAL,4:34:55,18:59:28
521,HOTEL,2:05:57,13:45:11
522,HOSTAL,4:18:32,19:31:56
523,HOSTAL,1:19:34,16:35:25
524,HOSTAL,6:57:10,19:29:19
525,HOSTAL,5:11:02,17:14:08
526,HOTEL,10:50:57,15:34:49
527,HOSTAL,2:57:32,16:45:37
528,HOTEL,5:35:44,15:49:30
529,HOTEL,8:56:04,21:35:09
530,HOTEL,3:55:41,15:07:12
531,HOTEL,10:11:47,17:12:55
532,HOSTAL,6:47:02,22:48:04
533,HOSTAL,4:29:23,20:06:55
534,HOTEL,5:00:37,23:09:07
535,HOSTAL,0:52:29,23:35:24
536,HOTEL,2:30:35,13:49:15
537,HOTEL,2:44:22,18:00:52
538,HOTEL,0:44:19,19:54:58
539,HOSTAL,5:49:44,17:56:48
540,HOTEL,0:40:03,22:39:32
541,HOTEL,1:20:10,23:47:11
542,HOSTAL,3:13:45,17:32:41
543,HOSTAL,7:27:49,23:26:09
544,HOSTAL,3:38:02,17:11:21
545,HOSTAL,2:38:40,17:30:21
546,HOSTAL,8:15:47,23:53:30
547,HOSTAL,10:09:30,14:37:14
548,HOTEL,10:37:57,15:47:11
549,HOTEL,8:24:43,22:41:05
550,HOTEL,3:59:14,18:02:51
551,HOSTAL,10:37:14,21:24:34
552,HOSTAL,9:49:00,17:48:06
553,HOTEL,9:34:53,16:12:28
554,HOSTAL,2:43:31,22:00:12
555,HOSTAL,4:17:30,17:46:19
556,HOSTAL,2:07:51,13:16:55
557,HOTEL,1:24:34,17:32:18
558,HOTEL,6:02:54,15:52:32
559,HOTEL,7:52:00,15:45:24
560,HOTEL,1:42:29,18:46:23
561,HOTEL,5:44:06,15:33:06
562,HOTEL,0:04:10,19:04:19
563,HOTEL,8:57:43,16:21:37
564,HOSTAL,4:45:25,16:01:50
565,HOSTAL,4:01:06,17:30:39
566,HOTEL,4:13:09,21:42:23
567,HOSTAL,10:37:38,23:31:58
568,HOSTAL,9:24:20,19:00:13
569,HOSTAL,1:01:31,23:47:43
570,HOTEL,11:29:09,14:42:40
571,HOTEL,2:33:47,22:03:54
572,HOSTAL,7:15:07,19:19:29
573,HOTEL,5:05:14,15:17:33
574,HOTEL,7:28:00,18:24:34
575,HOTEL,9:59:30,17:41:26
576,HOTEL,1:14:07,16:24:37
577,HOSTAL,6:45:54,16:46:45
578,HOSTAL,5:39:57,22:02:36
579,HOTEL,9:14:25,15:25:31
580,HOSTAL,6:02:29,20:39:08
581,HOSTAL,8:43:36,20:17:21
582,HOSTAL,8:36:28,13:36:51
583,HOTEL,10:28:17,21:07:12
584,HOTEL,9:52:17,15:14:01
585,HOTEL,4:50:10,21:43:51
586,HOTEL,7:30:05,17:46:24
587,HOSTAL,1:30:21,17:53:31
588,HOTEL,5:37:01,17:32:57
589,HOTEL,1:56:44,17:12:19
590,HOTEL,2:12:05,15:49:11
591,HOSTAL,4:11:16,13:39:52
592,HOTEL,4:24:09,20:43:06
593,HOTEL,11:16:44,18:42:53
594,HOSTAL,2:46:14,21:00:34
595,HOTEL,0:30:35,20:37:51
596,HOSTAL,3:55:11,15:59:18
597,HOTEL,2:41:25,18:35:06
598,HOTEL,8:47:33,20:58:35
599,HOSTAL,1:24:56,19:14:59
600,HOTEL,9:13:45,15:07:02
601,HOSTAL,1:57:22,16:12:16
602,HOSTAL,0:04:09,18:26:26
603,HOSTAL,6:31:00,14:07:03
604,HOSTAL,2:02:08,23:31:12
605,HOSTAL,2:36:12,13:17:48
606,HOSTAL,9:22:21,22:55:52
607,HOTEL,0:39:35,18:53:30
608,HOSTAL,6:42:22,18:13:59
609,HOSTAL,11:12:05,22:13:09
610,HOSTAL,11:59:11,23:15:02
611,HOSTAL,6:54:25,21:55:52
612,HOSTAL,3:22:05,20:58:34
613,HOTEL,9:52:59,16:50:39
614,HOTEL,8:41:13,14:11:02
615,HOSTAL,11:30:02,20:00:30
616,HOSTAL,10:48:31,23:45:09
617,HOSTAL,10:40:54,13:47:48
618,HOSTAL,4:55:26,23:35:29
619,HOSTAL,11:22:29,14:52:03
620,HOTEL,9:41:16,17:35:22
621,HOSTAL,4:40:48,16:46:15
622,HOSTAL,8:32:15,23:58:09
623,HOTEL,10:37:39,17:16:47
624,HOSTAL,8:58:49,19:14:02
625,HOSTAL,0:18:27,15:01:27
626,HOSTAL,11:26:02,21:09:02
627,HOSTAL,11:03:55,13:34:27
628,HOSTAL,8:19:19,19:26:42
629,HOSTAL,3:39:27,22:03:03
630,HOSTAL,2:45:43,14:20:49
631,HOSTAL,11:01:41,13:42:12
632,HOTEL,8:50:58,15:00:23
633,HOSTAL,8:43:45,20:02:24
634,HOTEL,2:34:33,21:53:44
635,HOSTAL,1:47:45,14:58:31
636,HOSTAL,10:57:46,13:24:07
637,HOTEL,10:17:34,18:14:48
638,HOTEL,0:06:12,15:29:46
639,HOTEL,6:56:23,20:54:11
640,HOTEL,6:14:14,20:40:59
641,HOTEL,8:17:52,23:35:28
642,HOSTAL,4:28:52,23:12:59
643,HOSTAL,6:02:05,22:15:59
644,HOTEL,11:07:48,14:44:56
645,HOSTAL,3:17:17,22:13:39
646,HOTEL,4:08:56,18:23:44
647,HOSTAL,2:57:19,19:35:38
648,HOTEL,11:12:45,15:40:31
649,HOSTAL,8:07:33,22:59:02
650,HOTEL,4:38:57,14:17:51
651,HOTEL,4:50:25,21:34:17
652,HOSTAL,5:03:44,18:21:28
653,HOSTAL,4:25:25,20:23:13
654,HOSTAL,4:42:36,22:29:31
655,HOSTAL,9:16:56,23:31:07
656,HOSTAL,5:17:37,23:25:26
657,HOTEL,5:38:07,21:20:23
658,HOTEL,9:30:17,17:05:44
659,HOTEL,2:49:50,19:36:18
660,HOSTAL,0:39:10,21:30:44
661,HOTEL,6:42:35,14:42:58
662,HOSTAL,4:58:42,22:03:48
663,HOTEL,8:39:28,22:12:04
664,HOTEL,11:33:48,18:07:01
665,HOTEL,0:57:10,19:32:08
666,HOTEL,2:12:54,21:49:03
667,HOSTAL,1:34:50,21:20:12
668,HOTEL,10:17:28,23:53:37
669,HOTEL,2:02:30,20:51:41
670,HOTEL,6:01:08,23:12:27
671,HOTEL,3:21:02,13:05:27
672,HOTEL,1:40:43,19:04:34
673,HOSTAL,3:15:05,18:36:54
674,HOTEL,11:11:58,21:17:03
675,HOTEL,6:43:07,21:59:35
676,HOTEL,0:58:20,21:32:30
677,HOTEL,7:48:02,22:42:23
678,HOTEL,3:17:04,21:59:43
679,HOTEL,11:48:15,17:40:40
680,HOSTAL,11:31:38,14:44:27
681,HOSTAL,3:35:44,21:28:18
