id,tipo_habitacion,numero,capacidad
354,ESTANDAR,319,1
355,SEMISUITE,864,2
356,ESTANDAR,608,4
357,ESTANDAR,662,4
358,SEMISUITE,376,4
359,SEMISUITE,318,2
360,SUITE,848,2
361,SUITE,593,4
362,ESTANDAR,861,2
363,SEMISUITE,112,2
364,ESTANDAR,882,2
365,SUITE,633,4
366,SEMISUITE,264,3
367,ESTANDAR,163,1
368,ESTANDAR,462,3
369,SEMISUITE,647,2
370,SUITE,442,3
371,SUITE,729,4
372,ESTANDAR,197,3
373,SEMISUITE,599,4
374,SUITE,276,2
375,SEMISUITE,576,4
376,ESTANDAR,624,3
377,SUITE,766,2
378,SEMISUITE,567,1
379,SEMISUITE,247,4
380,SUITE,890,3
381,SEMISUITE,566,1
382,ESTANDAR,533,2
383,SEMISUITE,129,2
384,SEMISUITE,198,3
385,ESTANDAR,573,2
386,ESTANDAR,354,2
387,SEMISUITE,458,4
388,SUITE,244,2
389,SEMISUITE,641,3
390,SEMISUITE,174,4
391,SEMISUITE,809,3
392,SUITE,377,3
393,SEMISUITE,452,3
394,ESTANDAR,365,3
395,SEMISUITE,868,1
396,SEMISUITE,565,2
397,SUITE,536,3
398,ESTANDAR,699,2
399,SEMISUITE,357,4
400,SUITE,277,3
401,ESTANDAR,755,3
402,SUITE,555,2
403,SUITE,673,3
404,ESTANDAR,140,4
405,ESTANDAR,412,4
406,SEMISUITE,186,4
407,SUITE,840,4
408,ESTANDAR,826,1
409,SUITE,543,3
410,SUITE,418,3
411,SEMISUITE,131,3
412,SEMISUITE,509,4
413,SEMISUITE,348,3
414,SEMISUITE,667,4
415,ESTANDAR,344,3
416,SUITE,117,2
417,ESTANDAR,397,4
418,ESTANDAR,679,1
419,SEMISUITE,449,3
420,SUITE,818,4
421,SEMISUITE,269,3
422,SUITE,880,2
423,SEMISUITE,419,1
424,SUITE,338,3
425,ESTANDAR,164,1
426,SUITE,256,2
427,ESTANDAR,583,2
428,ESTANDAR,168,3
429,ESTANDAR,506,4
430,ESTANDAR,237,1
431,ESTANDAR,368,2
432,SEMISUITE,303,1
433,ESTANDAR,435,2
434,SEMISUITE,336,3
435,ESTANDAR,780,1
436,SEMISUITE,798,1
437,ESTANDAR,326,1
438,SUITE,462,3
439,SUITE,397,4
440,SUITE,506,3
441,SUITE,214,1
442,SUITE,731,2
443,SEMISUITE,842,3
444,SUITE,156,3
445,SEMISUITE,881,2
446,SUITE,313,2
447,SUITE,582,3
448,ESTANDAR,366,3
449,SUITE,555,4
450,SEMISUITE,513,4
451,SEMISUITE,668,1
452,SUITE,469,3
453,ESTANDAR,533,4
454,ESTANDAR,711,2
455,SEMISUITE,311,4
456,ESTANDAR,376,2
457,SEMISUITE,297,4
458,SEMISUITE,143,3
459,SUITE,106,4
460,SUITE,708,3
461,ESTANDAR,294,3
462,ESTANDAR,572,4
463,SEMISUITE,576,3
464,SEMISUITE,759,2
465,SUITE,584,4
466,ESTANDAR,596,1
467,SUITE,193,3
468,SUITE,329,2
469,SUITE,859,3
470,SEMISUITE,574,2
471,SEMISUITE,795,3
472,ESTANDAR,125,3
473,ESTANDAR,184,2
474,ESTANDAR,750,3
475,SEMISUITE,673,3
476,SUITE,286,1
477,SUITE,436,2
478,SEMISUITE,625,3
479,SEMISUITE,847,1
480,ESTANDAR,821,2
481,ESTANDAR,353,1
482,SEMISUITE,860,4
483,SUITE,802,3
484,ESTANDAR,101,3
485,ESTANDAR,227,3
486,SUITE,260,2
487,SUITE,129,4
488,SEMISUITE,249,4
489,SEMISUITE,732,1
490,ESTANDAR,392,3
491,SUITE,145,2
492,SEMISUITE,646,3
493,SEMISUITE,344,4
494,SEMISUITE,420,3
495,SEMISUITE,373,2
496,SEMISUITE,532,2
497,SUITE,195,1
498,ESTANDAR,625,1
499,SEMISUITE,583,1
500,SUITE,230,4
501,SUITE,857,3
502,ESTANDAR,751,1
503,SEMISUITE,799,4
504,SEMISUITE,165,2
505,SUITE,104,3
506,SEMISUITE,437,4
507,SEMISUITE,833,4
508,SEMISUITE,449,1
509,SEMISUITE,141,1
510,ESTANDAR,320,2
511,ESTANDAR,375,1
512,SEMISUITE,363,4
513,SEMISUITE,272,3
514,SUITE,216,1
515,SUITE,313,3
516,ESTANDAR,635,4
517,ESTANDAR,182,1
518,SEMISUITE,705,4
519,SUITE,572,4
520,ESTANDAR,794,4
521,SEMISUITE,806,1
522,SEMISUITE,825,3
523,ESTANDAR,703,2
524,SEMISUITE,652,1
525,SEMISUITE,107,1
526,SEMISUITE,405,4
527,ESTANDAR,472,3
528,SEMISUITE,445,1
529,ESTANDAR,420,4
530,SEMISUITE,859,3
531,ESTANDAR,333,4
532,ESTANDAR,805,3
533,SUITE,511,1
534,ESTANDAR,760,2
535,SEMISUITE,225,2
536,SEMISUITE,257,2
537,SEMISUITE,239,4
538,SEMISUITE,625,2
539,ESTANDAR,764,3
540,ESTANDAR,163,2
541,SUITE,386,1
542,ESTANDAR,536,2
543,SEMISUITE,879,3
544,SUITE,534,3
545,ESTANDAR,370,2
546,SUITE,535,4
547,ESTANDAR,165,2
548,ESTANDAR,861,1
549,SUITE,595,2
550,SEMISUITE,447,3
551,SEMISUITE,147,4
552,ESTANDAR,476,2
553,SUITE,307,3
554,SEMISUITE,393,2
555,SEMISUITE,365,1
556,SEMISUITE,223,4
557,SEMISUITE,427,2
558,SUITE,677,4
559,ESTANDAR,170,1
560,ESTANDAR,696,1
561,ESTANDAR,161,1
562,ESTANDAR,776,4
563,ESTANDAR,364,3
564,SEMISUITE,896,3
565,SUITE,296,3
566,SUITE,347,4
567,SEMISUITE,456,1
568,SUITE,750,2
569,SUITE,279,1
570,SUITE,457,2
571,SEMISUITE,611,1
572,SEMISUITE,220,3
573,SUITE,115,4
574,SUITE,344,1
575,SUITE,306,3
576,ESTANDAR,852,3
577,SEMISUITE,316,2
578,SUITE,373,1
579,SEMISUITE,512,1
580,SUITE,221,4
581,ESTANDAR,671,1
582,ESTANDAR,249,2
583,SUITE,105,4
584,SUITE,783,1
585,SEMISUITE,481,1
586,ESTANDAR,852,4
587,SUITE,490,4
588,ESTANDAR,383,1
589,SEMISUITE,651,1
590,SEMISUITE,308,3
591,SEMISUITE,537,2
592,SUITE,524,3
593,ESTANDAR,421,3
594,SEMISUITE,404,4
595,SUITE,345,1
596,ESTANDAR,602,3
597,SEMISUITE,120,1
598,SEMISUITE,187,3
599,SUITE,674,1
600,SEMISUITE,295,3
601,SEMISUITE,351,4
602,SEMISUITE,655,4
603,SEMISUITE,170,3
604,SUITE,831,4
605,SUITE,687,1
606,SUITE,489,2
607,SEMISUITE,111,1
608,SUITE,579,2
609,ESTANDAR,700,2
610,SUITE,772,1
611,SUITE,848,1
612,SUITE,550,4
613,SEMISUITE,724,4
614,SEMISUITE,127,4
615,SEMISUITE,361,1
616,SUITE,590,3
617,ESTANDAR,841,3
618,SEMISUITE,339,3
619,ESTANDAR,777,4
620,SEMISUITE,626,4
621,SEMISUITE,860,3
622,SUITE,895,2
623,SEMISUITE,650,3
624,ESTANDAR,763,3
625,ESTANDAR,484,1
626,ESTANDAR,190,2
627,SEMISUITE,489,3
628,SUITE,372,1
629,ESTANDAR,559,3
630,SEMISUITE,498,2
631,SUITE,349,4
632,ESTANDAR,864,2
633,ESTANDAR,434,1
634,SUITE,792,3
635,SUITE,548,3
636,SUITE,752,2
637,SEMISUITE,120,3
638,SUITE,800,2
639,ESTANDAR,466,4
640,ESTANDAR,314,2
641,SEMISUITE,642,4
642,SEMISUITE,725,2
643,SUITE,248,3
644,SUITE,414,3
645,SUITE,318,3
646,SUITE,687,2
647,SUITE,177,3
648,ESTANDAR,143,2
649,ESTANDAR,451,4
650,SUITE,494,4
651,ESTANDAR,448,3
652,SEMISUITE,439,4
653,SUITE,823,4
654,SEMISUITE,206,4
655,SEMISUITE,195,3
656,SEMISUITE,666,2
657,SEMISUITE,702,1
658,SUITE,109,4
659,SEMISUITE,603,4
660,ESTANDAR,583,3
661,ESTANDAR,745,2
662,ESTANDAR,677,2
663,SEMISUITE,207,4
664,SEMISUITE,507,4
665,SUITE,295,3
666,SUITE,203,2
667,SUITE,109,2
668,SUITE,181,1
669,SUITE,775,3
670,ESTANDAR,482,3
671,SEMISUITE,150,4
672,ESTANDAR,401,4
673,SUITE,285,4
674,SEMISUITE,427,3
675,SUITE,349,2
676,SEMISUITE,586,1
677,SUITE,258,1
678,SUITE,461,2
679,ESTANDAR,298,2
680,ESTANDAR,843,3
681,SUITE,138,1
682,SUITE,689,1
683,SUITE,856,3
684,ESTANDAR,878,3
685,SUITE,371,4
686,ESTANDAR,453,1
687,SEMISUITE,179,2
688,ESTANDAR,731,2
689,ESTANDAR,161,4
690,SEMISUITE,298,1
691,ESTANDAR,344,4
692,SUITE,380,2
693,SUITE,464,1
694,ESTANDAR,487,4
695,SUITE,499,4
696,ESTANDAR,143,3
697,SUITE,379,4
698,SEMISUITE,860,1
699,ESTANDAR,522,1
700,ESTANDAR,832,2
701,SUITE,219,4
702,SEMISUITE,379,4
703,SUITE,784,2
704,SEMISUITE,804,1
705,SUITE,170,4
706,SUITE,499,3
707,ESTANDAR,776,3
708,ESTANDAR,283,1
709,ESTANDAR,843,4
710,SUITE,212,2
711,SEMISUITE,836,2
712,SUITE,340,4
713,SEMISUITE,790,2
714,SUITE,571,2
715,SEMISUITE,403,2
716,SUITE,886,1
717,SEMISUITE,777,3
718,SEMISUITE,203,3
719,ESTANDAR,299,1
720,ESTANDAR,321,3
721,SUITE,756,1
722,ESTANDAR,624,1
723,ESTANDAR,620,3
724,SEMISUITE,162,3
725,SUITE,828,3
726,SEMISUITE,687,3
727,ESTANDAR,197,3
728,ESTANDAR,328,2
729,SUITE,614,2
730,SEMISUITE,145,4
731,ESTANDAR,836,4
732,SUITE,141,2
733,SEMISUITE,250,3
734,ESTANDAR,228,2
735,SEMISUITE,466,4
736,SUITE,892,3
737,SUITE,604,2
738,SUITE,641,3
739,SUITE,226,1
740,ESTANDAR,793,3
741,ESTANDAR,894,1
742,SUITE,660,2
743,SEMISUITE,138,1
744,SEMISUITE,715,1
745,ESTANDAR,504,1
746,SUITE,384,4
747,SEMISUITE,661,1
748,ESTANDAR,239,3
749,SEMISUITE,419,4
750,SEMISUITE,880,1
751,SUITE,783,1
752,SUITE,260,2
753,ESTANDAR,309,1
754,SEMISUITE,519,2
755,ESTANDAR,813,4
756,SUITE,861,3
757,ESTANDAR,406,2
758,SEMISUITE,491,1
759,ESTANDAR,756,2
760,ESTANDAR,602,2
761,SEMISUITE,465,1
762,SUITE,692,4
763,SUITE,365,1
764,SEMISUITE,474,3
765,SUITE,894,3
766,SEMISUITE,367,2
767,SEMISUITE,519,3
768,SEMISUITE,334,1
769,ESTANDAR,438,3
770,SUITE,356,4
771,SEMISUITE,503,1
772,ESTANDAR,645,4
773,SUITE,537,4
774,SEMISUITE,307,2
775,SEMISUITE,703,2
776,SUITE,594,4
777,ESTANDAR,675,3
778,SUITE,737,4
779,SEMISUITE,563,4
780,ESTANDAR,674,3
781,SEMISUITE,884,3
782,ESTANDAR,476,1
783,SUITE,554,1
784,SEMISUITE,781,4
785,SUITE,424,1
786,ESTANDAR,210,1
787,ESTANDAR,415,3
788,SEMISUITE,885,3
789,SUITE,796,3
790,ESTANDAR,128,1
791,SEMISUITE,376,2
792,ESTANDAR,730,4
793,SEMISUITE,704,1
794,ESTANDAR,875,4
795,SUITE,775,3
796,ESTANDAR,483,2
797,SEMISUITE,400,4
798,ESTANDAR,364,1
799,ESTANDAR,144,3
800,ESTANDAR,872,1
801,ESTANDAR,879,4
802,ESTANDAR,716,2
803,SUITE,413,3
804,SEMISUITE,765,2
805,ESTANDAR,122,3
806,SUITE,754,4
807,ESTANDAR,142,2
808,SEMISUITE,519,2
809,ESTANDAR,621,2
810,ESTANDAR,103,4
811,SUITE,347,2
812,ESTANDAR,898,2
813,ESTANDAR,724,1
814,SUITE,416,3
815,SEMISUITE,325,4
816,SUITE,448,4
817,SUITE,852,4
818,ESTANDAR,278,4
819,ESTANDAR,216,1
820,SUITE,316,4
821,SUITE,582,1
822,SEMISUITE,216,4
823,SUITE,146,4
824,SEMISUITE,429,2
825,ESTANDAR,785,2
826,ESTANDAR,409,1
827,SEMISUITE,572,2
828,SEMISUITE,387,4
829,SUITE,772,1
830,SUITE,402,3
831,SUITE,628,1
832,ESTANDAR,722,2
833,SUITE,267,1
834,SUITE,460,4
835,ESTANDAR,484,1
836,SUITE,747,2
837,SEMISUITE,783,4
838,SEMISUITE,195,4
839,SUITE,639,4
840,SUITE,861,2
841,SUITE,861,1
842,ESTANDAR,215,3
843,SUITE,896,4
844,SUITE,130,4
845,ESTANDAR,357,1
846,SEMISUITE,350,4
847,SEMISUITE,305,1
848,SEMISUITE,367,2
849,SEMISUITE,518,2
850,ESTANDAR,329,2
851,SUITE,635,3
852,SUITE,716,4
853,SUITE,793,1
854,ESTANDAR,855,3
855,ESTANDAR,459,2
856,SEMISUITE,144,1
857,SUITE,543,3
858,SUITE,634,3
859,SEMISUITE,866,4
860,SEMISUITE,842,4
861,ESTANDAR,272,1
862,SEMISUITE,332,2
863,SUITE,188,1
864,SEMISUITE,146,2
865,SEMISUITE,341,1
866,ESTANDAR,177,3
867,SUITE,484,2
868,SEMISUITE,604,4
869,SUITE,286,1
870,SUITE,465,1
871,ESTANDAR,559,2
872,ESTANDAR,278,3
873,SEMISUITE,692,2
874,ESTANDAR,687,2
875,ESTANDAR,293,1
876,ESTANDAR,127,1
877,SEMISUITE,333,1
878,ESTANDAR,443,3
879,SUITE,700,4
880,SUITE,314,4
881,ESTANDAR,164,3
882,SUITE,106,3
883,SUITE,748,2
884,ESTANDAR,580,3
885,SEMISUITE,221,2
886,SUITE,469,3
887,ESTANDAR,583,1
888,SEMISUITE,183,4
889,SEMISUITE,549,4
890,SEMISUITE,659,3
891,ESTANDAR,360,4
892,SUITE,334,4
893,ESTANDAR,477,3
894,SUITE,337,1
895,SEMISUITE,355,1
896,SUITE,599,2
897,ESTANDAR,274,1
898,SUITE,339,2
899,ESTANDAR,463,1
900,ESTANDAR,239,1
901,SEMISUITE,373,3
902,ESTANDAR,729,3
903,SUITE,310,2
904,SUITE,157,3
905,SEMISUITE,453,2
906,SEMISUITE,511,3
907,ESTANDAR,263,2
908,SEMISUITE,567,1
909,SEMISUITE,794,1
910,SEMISUITE,527,2
911,SUITE,516,1
912,SEMISUITE,679,3
913,SUITE,689,1
914,SEMISUITE,161,4
915,SUITE,794,3
916,SUITE,480,1
917,SUITE,828,2
918,ESTANDAR,337,4
919,ESTANDAR,188,2
920,SUITE,563,2
921,ESTANDAR,362,1
922,SUITE,262,3
923,SEMISUITE,778,2
924,ESTANDAR,283,1
925,SEMISUITE,722,1
926,SEMISUITE,549,4
927,SEMISUITE,306,2
928,ESTANDAR,896,1
929,ESTANDAR,782,3
930,SUITE,697,3
931,SEMISUITE,752,4
932,SEMISUITE,541,1
933,ESTANDAR,641,1
934,SEMISUITE,182,3
935,SUITE,779,4
936,SUITE,836,1
937,SEMISUITE,266,3
938,SEMISUITE,599,1
939,SUITE,356,2
940,SUITE,734,4
941,SUITE,354,2
942,ESTANDAR,563,2
943,SUITE,289,4
944,SEMISUITE,665,3
945,SUITE,821,1
946,SUITE,438,2
947,SEMISUITE,192,2
948,SEMISUITE,373,3
949,SEMISUITE,429,3
950,ESTANDAR,564,2
951,SUITE,239,4
952,SUITE,229,4
953,SUITE,737,1
954,SUITE,773,3
955,SEMISUITE,495,2
956,SUITE,425,2
957,ESTANDAR,258,4
958,SUITE,308,2
959,SUITE,537,1
960,SUITE,789,3
961,SEMISUITE,663,3
962,SEMISUITE,563,3
963,SUITE,306,2
964,SUITE,365,2
965,SUITE,884,1
966,ESTANDAR,410,2
967,SEMISUITE,178,4
968,ESTANDAR,861,1
969,SUITE,346,2
970,SEMISUITE,385,3
971,SUITE,784,3
972,SUITE,888,1
973,SUITE,193,4
974,SEMISUITE,650,3
975,SUITE,653,2
976,SEMISUITE,112,4
977,ESTANDAR,588,1
978,SUITE,691,3
979,ESTANDAR,674,4
980,SEMISUITE,854,1
981,SUITE,474,3
982,SEMISUITE,895,2
983,SEMISUITE,809,1
984,SUITE,420,3
985,SEMISUITE,239,4
986,ESTANDAR,340,3
987,SEMISUITE,847,4
988,SUITE,177,2
989,ESTANDAR,338,1
990,ESTANDAR,873,4
991,ESTANDAR,435,4
992,ESTANDAR,286,3
993,SEMISUITE,448,2
994,SUITE,823,4
995,SEMISUITE,170,1
996,SEMISUITE,768,4
997,ESTANDAR,135,1
998,SUITE,253,2
999,SUITE,119,3
1000,SUITE,684,3
1001,SEMISUITE,375,1
1002,SUITE,562,3
1003,SUITE,851,2
1004,SUITE,296,4
1005,SUITE,761,3
1006,ESTANDAR,272,1
1007,SUITE,445,3
1008,SUITE,689,4
1009,SUITE,565,4
1010,SUITE,121,1
1011,SUITE,138,4
1012,SEMISUITE,150,3
1013,SEMISUITE,474,3
1014,SUITE,328,4
1015,SEMISUITE,235,3
1016,SUITE,851,4
1017,SUITE,539,2
1018,SUITE,211,3
1019,SEMISUITE,825,1
1020,SEMISUITE,643,4
1021,ESTANDAR,756,3
1022,SUITE,491,4
1023,SEMISUITE,281,2
1024,SUITE,198,4
1025,SEMISUITE,431,2
1026,SUITE,246,3
1027,SUITE,802,2
1028,SUITE,874,3
1029,ESTANDAR,288,3
1030,SUITE,873,3
1031,SUITE,338,1
1032,SUITE,158,2
1033,ESTANDAR,475,3
1034,SEMISUITE,755,2
1035,SUITE,418,4
1036,SEMISUITE,161,4
1037,ESTANDAR,551,4
1038,ESTANDAR,346,1
1039,SEMISUITE,393,3
1040,SEMISUITE,734,1
1041,SEMISUITE,771,2
1042,SUITE,756,3
1043,ESTANDAR,706,2
1044,SUITE,550,2
1045,ESTANDAR,158,3
1046,SEMISUITE,210,4
1047,SEMISUITE,380,1
1048,SUITE,599,3
1049,SUITE,699,3
1050,SUITE,835,2
1051,ESTANDAR,128,3
1052,SEMISUITE,823,1
1053,SEMISUITE,169,1
1054,SEMISUITE,589,2
1055,ESTANDAR,416,1
1056,SUITE,345,3
1057,ESTANDAR,747,2
1058,ESTANDAR,183,2
1059,SUITE,300,4
1060,SUITE,379,2
1061,SEMISUITE,862,3
1062,SUITE,378,2
1063,ESTANDAR,605,4
1064,SUITE,460,2
1065,ESTANDAR,340,3
1066,ESTANDAR,732,4
1067,SEMISUITE,695,1
1068,SEMISUITE,515,3
1069,ESTANDAR,289,3
1070,SEMISUITE,396,2
